REGWLD,EVCHANGE,SCEN,Value
MEX,EVval,BAU_noES,366860
MYS,EVval,BAU_noES,140566.75
NGA,EVval,BAU_noES,773032.0625
Oceania,EVval,BAU_noES,803724.5625
Oth_CEE_CIS,EVval,BAU_noES,567239.1875
Oth_Europe,EVval,BAU_noES,289102.5625
PAK,EVval,BAU_noES,64835.371094
PHL,EVval,BAU_noES,166529.85938
POL,EVval,BAU_noES,204025.375
R_S_Asia,EVval,BAU_noES,50252.1875
R_SE_Asia,EVval,BAU_noES,177789.9375
Russia,EVval,BAU_noES,1206734
S_o_Amer,EVval,BAU_noES,410153.90625
S_S_AFR,EVval,BAU_noES,431297.8125
TUR,EVval,BAU_noES,327803.34375
USA,EVval,BAU_noES,2770962.5
VNM,EVval,BAU_noES,108288.5625
XAC,EVval,BAU_noES,214440.14063
ZAF,EVval,BAU_noES,125725.60156
World,EVval,BAU_noES,24235862
ARG,EVpct,BAU_aES,-0.078365415335
BGD,EVpct,BAU_aES,-2.4107117653
BRAZIL,EVpct,BAU_aES,-0.012119690888
C_C_Amer,EVpct,BAU_aES,-0.42540037632
CAN,EVpct,BAU_aES,0.33692768216
CHIHKG,EVpct,BAU_aES,-0.6014495492
COL,EVpct,BAU_aES,0.39153021574
E_Asia,EVpct,BAU_aES,0.29285800457
EGY,EVpct,BAU_aES,-0.66330897808
ETH,EVpct,BAU_aES,-0.11865528673
EU27,EVpct,BAU_aES,-0.12519976497
IDN,EVpct,BAU_aES,-0.14535157382
INDIA,EVpct,BAU_aES,-0.85372310877
JAPAN,EVpct,BAU_aES,-0.37428337336
KOR,EVpct,BAU_aES,-0.74598395824
MAR,EVpct,BAU_aES,0.087015338242
MDG,EVpct,BAU_aES,-0.55408644676
MEAS_NAfr,EVpct,BAU_aES,1.0404040813
MEX,EVpct,BAU_aES,0.13492110372
MYS,EVpct,BAU_aES,-0.29116499424
NGA,EVpct,BAU_aES,0.23904530704
Oceania,EVpct,BAU_aES,0.51042723656
Oth_CEE_CIS,EVpct,BAU_aES,0.29147142172
Oth_Europe,EVpct,BAU_aES,0.30944976211
PAK,EVpct,BAU_aES,-0.076175183058
PHL,EVpct,BAU_aES,0.26685443521
POL,EVpct,BAU_aES,-0.29795971513
R_S_Asia,EVpct,BAU_aES,-0.73349452019
R_SE_Asia,EVpct,BAU_aES,-0.7584990859
Russia,EVpct,BAU_aES,0.67940509319
S_o_Amer,EVpct,BAU_aES,0.26515379548
S_S_AFR,EVpct,BAU_aES,0.32522433996
TUR,EVpct,BAU_aES,-0.4077192843
USA,EVpct,BAU_aES,-0.031158989295
VNM,EVpct,BAU_aES,0.040873028338
XAC,EVpct,BAU_aES,2.177082777
ZAF,EVpct,BAU_aES,0.032778143883
World,EVpct,BAU_aES,-0.083533726633
ARG,EVval,BAU_aES,-469.96542358
BGD,EVval,BAU_aES,-6342.0581055
BRAZIL,EVval,BAU_aES,-338.16876221
C_C_Amer,EVval,BAU_aES,-2733.3752441
CAN,EVval,BAU_aES,7618.1777344
CHIHKG,EVval,BAU_aES,-94340.125
COL,EVval,BAU_aES,1924.9416504
E_Asia,EVval,BAU_aES,434.1862793
EGY,EVval,BAU_aES,-3456.409668
ETH,EVval,BAU_aES,-103.99313354
EU27,EVval,BAU_aES,-21031.462891
IDN,EVval,BAU_aES,-1499.7218018
INDIA,EVval,BAU_aES,-21545.943359
JAPAN,EVval,BAU_aES,-13866.902344
KOR,EVval,BAU_aES,-10692.701172
MAR,EVval,BAU_aES,118.38160706
MDG,EVval,BAU_aES,-99.362213135
MEAS_NAfr,EVval,BAU_aES,43481.027344
MEX,EVval,BAU_aES,1877.0091553
MYS,EVval,BAU_aES,-1241.7235107
NGA,EVval,BAU_aES,3543.2290039
Oceania,EVval,BAU_aES,13449.211914
Oth_CEE_CIS,EVval,BAU_aES,3942.904541
Oth_Europe,EVval,BAU_aES,4163.5585938
PAK,EVval,BAU_aES,-180.13040161
PHL,EVval,BAU_aES,1177.0526123
POL,EVval,BAU_aES,-2023.0639648
R_S_Asia,EVval,BAU_aES,-1230.0175781
R_SE_Asia,EVval,BAU_aES,-6331.8886719
Russia,EVval,BAU_aES,22916.195313
S_o_Amer,EVval,BAU_aES,4028.2116699
S_S_AFR,EVval,BAU_aES,3436.28125
TUR,EVval,BAU_aES,-4116.253418
USA,EVval,BAU_aES,-5627.0698242
VNM,EVval,BAU_aES,119.62955475
XAC,EVval,BAU_aES,9339.3212891
ZAF,EVval,BAU_aES,135.57359314
World,EVval,BAU_aES,-75565.445313
ARG,EVpct,GlOBPES,2.85380939021707E-0003
BGD,EVpct,GlOBPES,-0.044483643025
BRAZIL,EVpct,GlOBPES,-4.70881490036845E-0003
C_C_Amer,EVpct,GlOBPES,0.015245456249
CAN,EVpct,GlOBPES,-0.055873505771
CHIHKG,EVpct,GlOBPES,0.038479413837
COL,EVpct,GlOBPES,0.027337534353
E_Asia,EVpct,GlOBPES,0.013017425314
EGY,EVpct,GlOBPES,0.33388373256
ETH,EVpct,GlOBPES,-0.018556868657
EU27,EVpct,GlOBPES,-0.051581561565
IDN,EVpct,GlOBPES,1.0242414474
INDIA,EVpct,GlOBPES,0.040902782232
JAPAN,EVpct,GlOBPES,-0.047167349607
KOR,EVpct,GlOBPES,-0.041906382889
MAR,EVpct,GlOBPES,1.18746876250952E-0003
MDG,EVpct,GlOBPES,0.08194757998
MEAS_NAfr,EVpct,GlOBPES,0.11477431655
MEX,EVpct,GlOBPES,0.064504422247
MYS,EVpct,GlOBPES,0.23937280476
NGA,EVpct,GlOBPES,-6.36492250487208E-0003
Oceania,EVpct,GlOBPES,-0.037737891078
Oth_CEE_CIS,EVpct,GlOBPES,0.032872933894
Oth_Europe,EVpct,GlOBPES,0.024837365374
PAK,EVpct,GlOBPES,-0.017886284739
PHL,EVpct,GlOBPES,0.035693157464
POL,EVpct,GlOBPES,0.079360328615
R_S_Asia,EVpct,GlOBPES,0.030770679936
R_SE_Asia,EVpct,GlOBPES,7.39428261294961E-0003
Russia,EVpct,GlOBPES,0.046507474035
S_o_Amer,EVpct,GlOBPES,0.028417730704
S_S_AFR,EVpct,GlOBPES,0.2066078335
TUR,EVpct,GlOBPES,0.015577591956
USA,EVpct,GlOBPES,-0.040847618133
VNM,EVpct,GlOBPES,0.052888512611
XAC,EVpct,GlOBPES,0.36214515567
ZAF,EVpct,GlOBPES,0.02501703985
World,EVpct,GlOBPES,0.014558755793
ARG,EVval,GlOBPES,17.079742432
BGD,EVval,GlOBPES,-121.56015015
BRAZIL,EVval,GlOBPES,-131.35462952
C_C_Amer,EVval,GlOBPES,97.316452026
CAN,EVval,GlOBPES,-1271.1359863
CHIHKG,EVval,GlOBPES,6004.1108398
COL,EVval,GlOBPES,135.98608398
E_Asia,EVval,GlOBPES,19.351840973
EGY,EVval,GlOBPES,1732.480957
ETH,EVval,GlOBPES,-16.520412445
EU27,EVval,GlOBPES,-8647.0371094
IDN,EVval,GlOBPES,10528.466797
INDIA,EVval,GlOBPES,1017.6887207
JAPAN,EVval,GlOBPES,-1735.4475098
KOR,EVval,GlOBPES,-594.4732666
MAR,EVval,GlOBPES,1.6111385822
MDG,EVval,GlOBPES,14.772418022
MEAS_NAfr,EVval,GlOBPES,4877.5068359
MEX,EVval,GlOBPES,899.015625
MYS,EVval,GlOBPES,1022.0021973
NGA,EVval,GlOBPES,-95.642677307
Oceania,EVval,GlOBPES,-1007.9936523
Oth_CEE_CIS,EVval,GlOBPES,446.82336426
Oth_Europe,EVval,GlOBPES,335.81048584
PAK,EVval,GlOBPES,-42.21074295
PHL,EVval,GlOBPES,157.52793884
POL,EVval,GlOBPES,536.53057861
R_S_Asia,EVval,GlOBPES,51.397155762
R_SE_Asia,EVval,GlOBPES,61.197761536
Russia,EVval,GlOBPES,1593.9036865
S_o_Amer,EVval,GlOBPES,434.14755249
S_S_AFR,EVval,GlOBPES,2197.2194824
TUR,EVval,GlOBPES,156.37893677
USA,EVval,GlOBPES,-7370.2421875
VNM,EVval,GlOBPES,155.60139465
XAC,EVval,GlOBPES,1609.6525879
ZAF,EVval,GlOBPES,103.51322174
World,EVval,GlOBPES,13173.475586
ARG,EVpct,NATPES,-0.015004078858
BGD,EVpct,NATPES,-0.029792273417
BRAZIL,EVpct,NATPES,-0.014594934881
C_C_Amer,EVpct,NATPES,5.27296774089336E-0003
CAN,EVpct,NATPES,-5.39157539606094E-0004
CHIHKG,EVpct,NATPES,0.031752113253
COL,EVpct,NATPES,0.029445335269
E_Asia,EVpct,NATPES,0.046823624521
EGY,EVpct,NATPES,0.33726420999
ETH,EVpct,NATPES,-0.029786469415
EU27,EVpct,NATPES,3.36169893853366E-0003
IDN,EVpct,NATPES,0.079928226769
INDIA,EVpct,NATPES,0.02737752907
JAPAN,EVpct,NATPES,2.77012609876692E-0003
KOR,EVpct,NATPES,-3.86568251997232E-0004
MAR,EVpct,NATPES,-8.54502711445093E-0003
