REGWLD,EVCHANGE,SCEN,Value
TUR,EVval,GPESSRRnD20,603.02545166
USA,EVval,GPESSRRnD20,-9327.0273438
VNM,EVval,GPESSRRnD20,1405.9481201
XAC,EVval,GPESSRRnD20,2121.3679199
ZAF,EVval,GPESSRRnD20,15.987327576
World,EVval,GPESSRRnD20,79443.742188
ARG,EVpct,BAU_aESRigid,-0.10853428394
BGD,EVpct,BAU_aESRigid,-2.4875278473
BRAZIL,EVpct,BAU_aESRigid,4.94599202647805E-0003
C_C_Amer,EVpct,BAU_aESRigid,-0.46865138412
CAN,EVpct,BAU_aESRigid,0.4160451293
CHIHKG,EVpct,BAU_aESRigid,-0.67448878288
COL,EVpct,BAU_aESRigid,0.48038649559
E_Asia,EVpct,BAU_aESRigid,0.3968347311
EGY,EVpct,BAU_aESRigid,-0.65552049875
ETH,EVpct,BAU_aESRigid,-1.67560495901853E-0003
EU27,EVpct,BAU_aESRigid,-0.16567826271
IDN,EVpct,BAU_aESRigid,-0.081680744886
INDIA,EVpct,BAU_aESRigid,-1.0566461086
JAPAN,EVpct,BAU_aESRigid,-0.46976971626
KOR,EVpct,BAU_aESRigid,-0.92955076694
MAR,EVpct,BAU_aESRigid,-0.031222902238
MDG,EVpct,BAU_aESRigid,-0.44677719474
MEAS_NAfr,EVpct,BAU_aESRigid,1.2965121269
MEX,EVpct,BAU_aESRigid,0.15607151389
MYS,EVpct,BAU_aESRigid,-0.23095372319
NGA,EVpct,BAU_aESRigid,0.32209646702
Oceania,EVpct,BAU_aESRigid,0.67802453041
Oth_CEE_CIS,EVpct,BAU_aESRigid,0.38297599554
Oth_Europe,EVpct,BAU_aESRigid,0.42465287447
PAK,EVpct,BAU_aESRigid,-0.19191753864
PHL,EVpct,BAU_aESRigid,0.1924149543
POL,EVpct,BAU_aESRigid,-0.35268720984
R_S_Asia,EVpct,BAU_aESRigid,-0.72407132387
R_SE_Asia,EVpct,BAU_aESRigid,-0.93063807487
Russia,EVpct,BAU_aESRigid,0.79855751991
S_o_Amer,EVpct,BAU_aESRigid,0.37794530392
S_S_AFR,EVpct,BAU_aESRigid,0.46113526821
TUR,EVpct,BAU_aESRigid,-0.50158822536
USA,EVpct,BAU_aESRigid,-0.039983510971
VNM,EVpct,BAU_aESRigid,0.064808852971
XAC,EVpct,BAU_aESRigid,2.2720952034
ZAF,EVpct,BAU_aESRigid,0.073638297617
World,EVpct,BAU_aESRigid,-0.088093131781
ARG,EVval,BAU_aESRigid,-650.89123535
BGD,EVval,BAU_aESRigid,-6544.1450195
BRAZIL,EVval,BAU_aESRigid,138.00517273
C_C_Amer,EVval,BAU_aESRigid,-3011.2810059
CAN,EVval,BAU_aESRigid,9407.0800781
CHIHKG,EVval,BAU_aESRigid,-105796.66406
COL,EVval,BAU_aESRigid,2361.7998047
E_Asia,EVval,BAU_aESRigid,588.34039307
EGY,EVval,BAU_aESRigid,-3415.8249512
ETH,EVval,BAU_aESRigid,-1.4685516357
EU27,EVval,BAU_aESRigid,-27831.171875
IDN,EVval,BAU_aESRigid,-842.77307129
INDIA,EVval,BAU_aESRigid,-26667.238281
JAPAN,EVval,BAU_aESRigid,-17404.595703
KOR,EVval,BAU_aESRigid,-13323.890625
MAR,EVval,BAU_aESRigid,-42.477767944
MDG,EVval,BAU_aESRigid,-80.118850708
MEAS_NAfr,EVval,BAU_aESRigid,54184.40625
MEX,EVval,BAU_aESRigid,2171.2514648
MYS,EVval,BAU_aESRigid,-984.94213867
NGA,EVval,BAU_aESRigid,4774.2480469
Oceania,EVval,BAU_aESRigid,17865.220703
Oth_CEE_CIS,EVval,BAU_aESRigid,5180.7402344
Oth_Europe,EVval,BAU_aESRigid,5713.5839844
PAK,EVval,BAU_aESRigid,-453.82473755
PHL,EVval,BAU_aESRigid,848.71185303
POL,EVval,BAU_aESRigid,-2394.6484375
R_S_Asia,EVval,BAU_aESRigid,-1214.2155762
R_SE_Asia,EVval,BAU_aESRigid,-7768.8911133
Russia,EVval,BAU_aESRigid,26935.183594
S_o_Amer,EVval,BAU_aESRigid,5741.737793
S_S_AFR,EVval,BAU_aESRigid,4872.2998047
TUR,EVval,BAU_aESRigid,-5063.9355469
USA,EVval,BAU_aESRigid,-7220.7094727
VNM,EVval,BAU_aESRigid,189.68632507
XAC,EVval,BAU_aESRigid,9746.9082031
ZAF,EVval,BAU_aESRigid,304.57516479
World,EVval,BAU_aESRigid,-79689.929688
ARG,EVpct,BAU_aECOLLPS,1.7810834646
BGD,EVpct,BAU_aECOLLPS,-19.935300827
BRAZIL,EVpct,BAU_aECOLLPS,-1.801184535
C_C_Amer,EVpct,BAU_aECOLLPS,-1.7986614704
CAN,EVpct,BAU_aECOLLPS,1.4427882433
CHIHKG,EVpct,BAU_aECOLLPS,-5.4211063385
COL,EVpct,BAU_aECOLLPS,-1.6468331814
E_Asia,EVpct,BAU_aECOLLPS,-2.4059624672
EGY,EVpct,BAU_aECOLLPS,-7.8829455376
ETH,EVpct,BAU_aECOLLPS,-6.6092028618
EU27,EVpct,BAU_aECOLLPS,-0.55023193359
IDN,EVpct,BAU_aECOLLPS,-9.8452892303
INDIA,EVpct,BAU_aECOLLPS,-4.8428020477
JAPAN,EVpct,BAU_aECOLLPS,-2.461117506
KOR,EVpct,BAU_aECOLLPS,-4.1766662598
MAR,EVpct,BAU_aECOLLPS,-2.5109848976
MDG,EVpct,BAU_aECOLLPS,49.670959473
MEAS_NAfr,EVpct,BAU_aECOLLPS,-1.1818516254
MEX,EVpct,BAU_aECOLLPS,-0.8377019763
MYS,EVpct,BAU_aECOLLPS,-5.899872303
NGA,EVpct,BAU_aECOLLPS,-8.3717107773
Oceania,EVpct,BAU_aECOLLPS,1.5571237803
Oth_CEE_CIS,EVpct,BAU_aECOLLPS,0.32821756601
Oth_Europe,EVpct,BAU_aECOLLPS,0.030008384958
PAK,EVpct,BAU_aECOLLPS,-18.255804062
PHL,EVpct,BAU_aECOLLPS,-12.018361092
POL,EVpct,BAU_aECOLLPS,-1.2940214872
R_S_Asia,EVpct,BAU_aECOLLPS,-7.5500769615
R_SE_Asia,EVpct,BAU_aECOLLPS,-6.4448399544
Russia,EVpct,BAU_aECOLLPS,0.82341915369
S_o_Amer,EVpct,BAU_aECOLLPS,-1.8396319151
S_S_AFR,EVpct,BAU_aECOLLPS,-10.577577591
TUR,EVpct,BAU_aECOLLPS,-4.3519186974
USA,EVpct,BAU_aECOLLPS,0.21025170386
VNM,EVpct,BAU_aECOLLPS,-17.112745285
XAC,EVpct,BAU_aECOLLPS,-31.946205139
ZAF,EVpct,BAU_aECOLLPS,2.3660321236
World,EVpct,BAU_aECOLLPS,-2.2912688255
ARG,EVval,BAU_aECOLLPS,10681.339844
BGD,EVval,BAU_aECOLLPS,-52445.441406
BRAZIL,EVval,BAU_aECOLLPS,-50257.417969
C_C_Amer,EVval,BAU_aECOLLPS,-11557.152344
CAN,EVval,BAU_aECOLLPS,32622.480469
CHIHKG,EVval,BAU_aECOLLPS,-850325.4375
COL,EVval,BAU_aECOLLPS,-8096.5854492
E_Asia,EVval,BAU_aECOLLPS,-3567.0388184
EGY,EVval,BAU_aECOLLPS,-41076.917969
ETH,EVval,BAU_aECOLLPS,-5792.5083008
EU27,EVval,BAU_aECOLLPS,-92429.742187
IDN,EVval,BAU_aECOLLPS,-101582.625
INDIA,EVval,BAU_aECOLLPS,-122220.82031
JAPAN,EVval,BAU_aECOLLPS,-91182.453125
KOR,EVval,BAU_aECOLLPS,-59867.03125
MAR,EVval,BAU_aECOLLPS,-3416.1152344
MDG,EVval,BAU_aECOLLPS,8907.3037109
MEAS_NAfr,EVval,BAU_aECOLLPS,-49392.460937
MEX,EVval,BAU_aECOLLPS,-11654.027344
MYS,EVval,BAU_aECOLLPS,-25161.027344
NGA,EVval,BAU_aECOLLPS,-124088.97656
Oceania,EVval,BAU_aECOLLPS,41028.546875
Oth_CEE_CIS,EVval,BAU_aECOLLPS,4439.9912109
Oth_Europe,EVval,BAU_aECOLLPS,403.75430298
PAK,EVval,BAU_aECOLLPS,-43169.246094
PHL,EVval,BAU_aECOLLPS,-53011.085938
POL,EVval,BAU_aECOLLPS,-8786.0478516
R_S_Asia,EVval,BAU_aECOLLPS,-12660.936523
R_SE_Asia,EVval,BAU_aECOLLPS,-53801
Russia,EVval,BAU_aECOLLPS,27773.761719
S_o_Amer,EVval,BAU_aECOLLPS,-27947.654297
S_S_AFR,EVval,BAU_aECOLLPS,-111761.41406
TUR,EVval,BAU_aECOLLPS,-43936.113281
USA,EVval,BAU_aECOLLPS,37969.8125
VNM,EVval,BAU_aECOLLPS,-50086.578125
XAC,EVval,BAU_aECOLLPS,-137043.875
ZAF,EVval,BAU_aECOLLPS,9786.1396484
World,EVval,BAU_aECOLLPS,-2072704.625
