ENDW,AREGWLD,ENDWRES,SCEN,Value
AEZ1,MidIncome,pe,GlOBPES,-1.4973232746
AEZ2,MidIncome,pe,GlOBPES,-0.30940017104
AEZ3,MidIncome,pe,GlOBPES,-0.28780442476
AEZ4,MidIncome,pe,GlOBPES,0.20013365149
AEZ5,MidIncome,pe,GlOBPES,0.43279698491
AEZ6,MidIncome,pe,GlOBPES,3.7439477444
AEZ7,MidIncome,pe,GlOBPES,-1.9340459108
AEZ8,MidIncome,pe,GlOBPES,-1.2196806669
AEZ9,MidIncome,pe,GlOBPES,-1.4428316355
AEZ10,MidIncome,pe,GlOBPES,-1.5690351725
AEZ11,MidIncome,pe,GlOBPES,-1.54347229
AEZ12,MidIncome,pe,GlOBPES,-1.9630401134
AEZ13,MidIncome,pe,GlOBPES,-1.1667833328
AEZ14,MidIncome,pe,GlOBPES,-0.75046515465
AEZ15,MidIncome,pe,GlOBPES,-0.63251519203
AEZ16,MidIncome,pe,GlOBPES,-0.79290163517
AEZ17,MidIncome,pe,GlOBPES,-1.4172872305
AEZ18,MidIncome,pe,GlOBPES,-1.5766437054
UnSkLab,MidIncome,pe,GlOBPES,0.075963839889
SkLab,MidIncome,pe,GlOBPES,0.058857847005
Capital,MidIncome,pe,GlOBPES,0.077335745096
NatRes,MidIncome,pe,GlOBPES,0.076076053083
AEZ1,LowIncome,pe,GlOBPES,-3.6259784698
AEZ2,LowIncome,pe,GlOBPES,-3.6358344555
AEZ3,LowIncome,pe,GlOBPES,-3.5789215565
AEZ4,LowIncome,pe,GlOBPES,-3.6095917225
AEZ5,LowIncome,pe,GlOBPES,-3.4376058578
AEZ6,LowIncome,pe,GlOBPES,-3.3142826557
AEZ7,LowIncome,pe,GlOBPES,-1.6925312281
AEZ8,LowIncome,pe,GlOBPES,-1.2643479109
AEZ9,LowIncome,pe,GlOBPES,-2.1534633636
AEZ10,LowIncome,pe,GlOBPES,-1.3173080683
AEZ11,LowIncome,pe,GlOBPES,-1.686822176
AEZ12,LowIncome,pe,GlOBPES,-1.0167403221
AEZ13,LowIncome,pe,GlOBPES,-3.4136221409
AEZ14,LowIncome,pe,GlOBPES,-2.317129612
AEZ15,LowIncome,pe,GlOBPES,-2.0513262749
AEZ16,LowIncome,pe,GlOBPES,-2.9465978146
AEZ17,LowIncome,pe,GlOBPES,-3.6281843185
AEZ18,LowIncome,pe,GlOBPES,-3.6763365269
UnSkLab,LowIncome,pe,GlOBPES,-0.058280661702
SkLab,LowIncome,pe,GlOBPES,-0.055961199105
Capital,LowIncome,pe,GlOBPES,-0.042239181697
NatRes,LowIncome,pe,GlOBPES,0.18536008894
AEZ1,World,pe,GlOBPES,-1.0937861204
AEZ2,World,pe,GlOBPES,-0.19103588164
AEZ3,World,pe,GlOBPES,-0.14278204739
AEZ4,World,pe,GlOBPES,0.281878829
AEZ5,World,pe,GlOBPES,0.40964055061
AEZ6,World,pe,GlOBPES,3.3666300774
AEZ7,World,pe,GlOBPES,-1.8710007668
AEZ8,World,pe,GlOBPES,-1.1861943007
AEZ9,World,pe,GlOBPES,-1.5327240229
AEZ10,World,pe,GlOBPES,-1.3872020245
AEZ11,World,pe,GlOBPES,-1.5020041466
AEZ12,World,pe,GlOBPES,-1.8080961704
AEZ13,World,pe,GlOBPES,-1.32130301
AEZ14,World,pe,GlOBPES,-1.0155328512
AEZ15,World,pe,GlOBPES,-1.0916980505
AEZ16,World,pe,GlOBPES,-0.95212215185
AEZ17,World,pe,GlOBPES,-1.6415610313
AEZ18,World,pe,GlOBPES,-1.7435566187
UnSkLab,World,pe,GlOBPES,2.78514809906483E-0003
SkLab,World,pe,GlOBPES,-7.60965608060360E-0003
Capital,World,pe,GlOBPES,0.018645480275
NatRes,World,pe,GlOBPES,0.096546381712
AEZ1,HighIncome,qe,GlOBPES,-0.031232312322
AEZ2,HighIncome,qe,GlOBPES,-0.12205669284
AEZ3,HighIncome,qe,GlOBPES,-0.69532209635
AEZ4,HighIncome,qe,GlOBPES,-0.58901256323
AEZ5,HighIncome,qe,GlOBPES,-0.28954830766
AEZ6,HighIncome,qe,GlOBPES,-0.076555810869
AEZ7,HighIncome,qe,GlOBPES,1.45706336479634E-0003
AEZ8,HighIncome,qe,GlOBPES,-0.24412418902
AEZ9,HighIncome,qe,GlOBPES,-1.8572130203
AEZ10,HighIncome,qe,GlOBPES,-0.56499296427
AEZ11,HighIncome,qe,GlOBPES,-0.013466154225
AEZ12,HighIncome,qe,GlOBPES,-0.074018001556
AEZ1,MidIncome,qe,GlOBPES,-0.013323713094
AEZ2,MidIncome,qe,GlOBPES,-0.022314121947
AEZ3,MidIncome,qe,GlOBPES,-0.021331742406
AEZ4,MidIncome,qe,GlOBPES,-0.1118735075
AEZ5,MidIncome,qe,GlOBPES,-0.16329656541
AEZ6,MidIncome,qe,GlOBPES,-1.4716585875
AEZ7,MidIncome,qe,GlOBPES,-0.093084424734
AEZ8,MidIncome,qe,GlOBPES,-0.099570252001
AEZ9,MidIncome,qe,GlOBPES,-0.05892605707
AEZ10,MidIncome,qe,GlOBPES,-0.048186007887
AEZ11,MidIncome,qe,GlOBPES,-0.017370721325
AEZ12,MidIncome,qe,GlOBPES,-0.016982045025
AEZ13,MidIncome,qe,GlOBPES,-2.68535339273512E-0004
AEZ14,MidIncome,qe,GlOBPES,-0.027949918061
AEZ15,MidIncome,qe,GlOBPES,-0.15259966254
AEZ16,MidIncome,qe,GlOBPES,-1.29559333436191E-0003
AEZ17,MidIncome,qe,GlOBPES,-9.21926641694881E-0008
AEZ18,MidIncome,qe,GlOBPES,-8.85027191088739E-0007
AEZ1,LowIncome,qe,GlOBPES,-3.97619267459959E-0004
AEZ2,LowIncome,qe,GlOBPES,-3.93331982195377E-0004
AEZ3,LowIncome,qe,GlOBPES,-8.85759305674583E-0004
AEZ4,LowIncome,qe,GlOBPES,-7.20793395885266E-0005
AEZ5,LowIncome,qe,GlOBPES,-3.17464264298906E-0006
AEZ6,LowIncome,qe,GlOBPES,-8.09061602922156E-0005
AEZ7,LowIncome,qe,GlOBPES,-0.055616520345
AEZ8,LowIncome,qe,GlOBPES,-0.20089259744
AEZ9,LowIncome,qe,GlOBPES,-0.15908011794
AEZ10,LowIncome,qe,GlOBPES,-0.13094361126
AEZ11,LowIncome,qe,GlOBPES,-0.20794552565
AEZ12,LowIncome,qe,GlOBPES,-0.53558641672
AEZ13,LowIncome,qe,GlOBPES,-2.95203085988760E-0003
AEZ14,LowIncome,qe,GlOBPES,-9.99831873923540E-0003
AEZ15,LowIncome,qe,GlOBPES,-0.013166726567
AEZ16,LowIncome,qe,GlOBPES,-7.20887212082744E-0003
AEZ1,World,qe,GlOBPES,-0.015628119931
AEZ2,World,qe,GlOBPES,-0.03329769522
AEZ3,World,qe,GlOBPES,-0.10119266063
AEZ4,World,qe,GlOBPES,-0.21004013717
AEZ5,World,qe,GlOBPES,-0.18022744358
AEZ6,World,qe,GlOBPES,-1.329687953
AEZ7,World,qe,GlOBPES,-0.089088343084
AEZ8,World,qe,GlOBPES,-0.12255220115
AEZ9,World,qe,GlOBPES,-0.10761016607
AEZ10,World,qe,GlOBPES,-0.10352634639
AEZ11,World,qe,GlOBPES,-0.096496030688
AEZ12,World,qe,GlOBPES,-0.07855925709
AEZ13,World,qe,GlOBPES,-6.80517056025565E-0004
AEZ14,World,qe,GlOBPES,-0.02210791409
AEZ15,World,qe,GlOBPES,-0.097202152014
AEZ16,World,qe,GlOBPES,-1.90630950964987E-0003
AEZ17,World,qe,GlOBPES,-4.88549964927643E-0008
AEZ18,World,qe,GlOBPES,-4.40733714413000E-0007
AEZ1,HighIncome,pe,NATPES,0.080944858491
AEZ2,HighIncome,pe,NATPES,-0.23227661848
AEZ3,HighIncome,pe,NATPES,-0.25967895985
AEZ4,HighIncome,pe,NATPES,-0.4409031868
AEZ5,HighIncome,pe,NATPES,-0.93351906538
AEZ6,HighIncome,pe,NATPES,-1.0399048328
AEZ7,HighIncome,pe,NATPES,-0.41749569774
AEZ8,HighIncome,pe,NATPES,-0.47409045696
AEZ9,HighIncome,pe,NATPES,-0.60189008713
AEZ10,HighIncome,pe,NATPES,-0.54137885571
AEZ11,HighIncome,pe,NATPES,-0.58552545309
AEZ12,HighIncome,pe,NATPES,-0.58562266827
AEZ13,HighIncome,pe,NATPES,-0.14901997149
AEZ14,HighIncome,pe,NATPES,-0.14901611209
AEZ15,HighIncome,pe,NATPES,-0.15161675215
AEZ16,HighIncome,pe,NATPES,-0.16288201511
AEZ17,HighIncome,pe,NATPES,-0.15161678195
AEZ18,HighIncome,pe,NATPES,-0.15161678195
UnSkLab,HighIncome,pe,NATPES,-0.02641707845
SkLab,HighIncome,pe,NATPES,-0.070268087089
Capital,HighIncome,pe,NATPES,-8.82267951965332E-0003
NatRes,HighIncome,pe,NATPES,0.19785937667
AEZ1,MidIncome,pe,NATPES,-1.5274677277
AEZ2,MidIncome,pe,NATPES,-0.44430607557
AEZ3,MidIncome,pe,NATPES,-0.45114910603
AEZ4,MidIncome,pe,NATPES,-0.067231945693
AEZ5,MidIncome,pe,NATPES,-0.20179101825
AEZ6,MidIncome,pe,NATPES,-0.48303467035
AEZ7,MidIncome,pe,NATPES,-2.0442667007
AEZ8,MidIncome,pe,NATPES,-1.5012840033
AEZ9,MidIncome,pe,NATPES,-1.7727539539
AEZ10,MidIncome,pe,NATPES,-2.0192437172
AEZ11,MidIncome,pe,NATPES,-2.0339903831
AEZ12,MidIncome,pe,NATPES,-2.4210891724
AEZ13,MidIncome,pe,NATPES,-1.6546257734
AEZ14,MidIncome,pe,NATPES,-1.548617959
AEZ15,MidIncome,pe,NATPES,-1.4016703367
AEZ16,MidIncome,pe,NATPES,-1.4790004492
AEZ17,MidIncome,pe,NATPES,-1.7115029097
AEZ18,MidIncome,pe,NATPES,-1.7759793997
UnSkLab,MidIncome,pe,NATPES,0.064410939813
SkLab,MidIncome,pe,NATPES,0.053040474653
Capital,MidIncome,pe,NATPES,0.071646049619
NatRes,MidIncome,pe,NATPES,0.15366747975
AEZ1,LowIncome,pe,NATPES,-4.2525067329
AEZ2,LowIncome,pe,NATPES,-4.265255928
AEZ3,LowIncome,pe,NATPES,-4.2595953941
AEZ4,LowIncome,pe,NATPES,-4.2733721733
AEZ5,LowIncome,pe,NATPES,-4.0998950005
AEZ6,LowIncome,pe,NATPES,-4.0972819328
AEZ7,LowIncome,pe,NATPES,-2.4439628124
AEZ8,LowIncome,pe,NATPES,-2.1552755833
AEZ9,LowIncome,pe,NATPES,-2.8261058331
AEZ10,LowIncome,pe,NATPES,-1.8212718964
AEZ11,LowIncome,pe,NATPES,-2.1684134007
AEZ12,LowIncome,pe,NATPES,-1.897361517
AEZ13,LowIncome,pe,NATPES,-4.0864005089
AEZ14,LowIncome,pe,NATPES,-3.0997982025
AEZ15,LowIncome,pe,NATPES,-2.7426526546
AEZ16,LowIncome,pe,NATPES,-3.6228482723
AEZ17,LowIncome,pe,NATPES,-4.2523126602
AEZ18,LowIncome,pe,NATPES,-4.2880249023
UnSkLab,LowIncome,pe,NATPES,5.32496441155672E-0003
SkLab,LowIncome,pe,NATPES,2.38971528597176E-0003
Capital,LowIncome,pe,NATPES,8.57149064540863E-0003
NatRes,LowIncome,pe,NATPES,0.20570339262
AEZ1,World,pe,NATPES,-1.4709305763
AEZ2,World,pe,NATPES,-0.49777716398
AEZ3,World,pe,NATPES,-0.47446933389
AEZ4,World,pe,NATPES,-0.17031569779
AEZ5,World,pe,NATPES,-0.33078563213
AEZ6,World,pe,NATPES,-0.56727099419
AEZ7,World,pe,NATPES,-2.0210282803
AEZ8,World,pe,NATPES,-1.5908620358
AEZ9,World,pe,NATPES,-1.9311828613
AEZ10,World,pe,NATPES,-1.8801114559
AEZ11,World,pe,NATPES,-2.0203816891
AEZ12,World,pe,NATPES,-2.329723835
AEZ13,World,pe,NATPES,-1.916746974
AEZ14,World,pe,NATPES,-1.8398641348
AEZ15,World,pe,NATPES,-1.8508492708
AEZ16,World,pe,NATPES,-1.6664241552
AEZ17,World,pe,NATPES,-2.2172057629
AEZ18,World,pe,NATPES,-2.288244009
UnSkLab,World,pe,NATPES,0.030453095213
SkLab,World,pe,NATPES,0.021579137072
Capital,World,pe,NATPES,0.039136603475
NatRes,World,pe,NATPES,0.16473783553
AEZ1,HighIncome,qe,NATPES,-0.031655840576
AEZ2,HighIncome,qe,NATPES,-0.12021874636
AEZ3,HighIncome,qe,NATPES,-0.32284849882
AEZ4,HighIncome,qe,NATPES,-0.28545024991
AEZ5,HighIncome,qe,NATPES,-0.093081228435
AEZ6,HighIncome,qe,NATPES,-3.64923803135753E-0003
AEZ7,HighIncome,qe,NATPES,-8.19615670479834E-0004
AEZ8,HighIncome,qe,NATPES,-0.30918952823
AEZ9,HighIncome,qe,NATPES,-1.8755716085
AEZ10,HighIncome,qe,NATPES,-0.29670086503
AEZ11,HighIncome,qe,NATPES,-0.028196141124
AEZ12,HighIncome,qe,NATPES,-2.67052764684195E-0005
AEZ1,MidIncome,qe,NATPES,-0.020877543837
AEZ2,MidIncome,qe,NATPES,-0.083418652415
AEZ3,MidIncome,qe,NATPES,-0.079657323658
AEZ4,MidIncome,qe,NATPES,-0.061092827469
AEZ5,MidIncome,qe,NATPES,-0.079094879329
AEZ6,MidIncome,qe,NATPES,-0.37728539109
AEZ7,MidIncome,qe,NATPES,-6.46075606346130E-0003
AEZ8,MidIncome,qe,NATPES,-0.17037399113
AEZ9,MidIncome,qe,NATPES,-0.071620516479
AEZ10,MidIncome,qe,NATPES,-0.082620568573
AEZ11,MidIncome,qe,NATPES,-0.016128240153
AEZ12,MidIncome,qe,NATPES,-0.020927481353
AEZ13,MidIncome,qe,NATPES,-5.56029845029116E-0003
AEZ14,MidIncome,qe,NATPES,-0.048459794372
AEZ15,MidIncome,qe,NATPES,-0.06292385608
AEZ16,MidIncome,qe,NATPES,-1.88116182107478E-0003
AEZ17,MidIncome,qe,NATPES,-5.18614797329064E-0007
AEZ18,MidIncome,qe,NATPES,-1.05031017483270E-0006
AEZ1,LowIncome,qe,NATPES,-9.24799940548837E-0004
AEZ2,LowIncome,qe,NATPES,-7.63039162848145E-0004
AEZ3,LowIncome,qe,NATPES,-1.61788729019463E-0003
AEZ4,LowIncome,qe,NATPES,-1.27121908008121E-0004
AEZ5,LowIncome,qe,NATPES,-7.59978092901292E-0006
AEZ6,LowIncome,qe,NATPES,-1.72910338733345E-0004
AEZ7,LowIncome,qe,NATPES,-0.058519266546
AEZ8,LowIncome,qe,NATPES,-0.1821397692
AEZ9,LowIncome,qe,NATPES,-0.24167077243
AEZ10,LowIncome,qe,NATPES,-0.20164625347
AEZ11,LowIncome,qe,NATPES,-0.18580922484
AEZ12,LowIncome,qe,NATPES,-0.51292198896
AEZ13,LowIncome,qe,NATPES,-2.93899374082685E-0003
AEZ14,LowIncome,qe,NATPES,-0.012978279963
AEZ15,LowIncome,qe,NATPES,-0.29236239195
AEZ16,LowIncome,qe,NATPES,-0.02984184958
AEZ1,World,qe,NATPES,-0.021142728627
AEZ2,World,qe,NATPES,-0.085961215198
AEZ3,World,qe,NATPES,-0.10746585578
AEZ4,World,qe,NATPES,-0.107040748
AEZ5,World,qe,NATPES,-0.080581314862
AEZ6,World,qe,NATPES,-0.33893680573
AEZ7,World,qe,NATPES,-8.56109522283077E-0003
AEZ8,World,qe,NATPES,-0.17670823634
AEZ9,World,qe,NATPES,-0.13210624456
AEZ10,World,qe,NATPES,-0.14629262686
AEZ11,World,qe,NATPES,-0.087343588471
AEZ12,World,qe,NATPES,-0.077978610992
AEZ13,World,qe,NATPES,-4.61880769580603E-0003
AEZ14,World,qe,NATPES,-0.037303920835
AEZ15,World,qe,NATPES,-0.14416822791
AEZ16,World,qe,NATPES,-4.95555531233549E-0003
AEZ17,World,qe,NATPES,-2.75241291092243E-0007
AEZ18,World,qe,NATPES,-5.23957680798048E-0007
AEZ1,HighIncome,pe,SRLand,-4.5267019272
AEZ2,HighIncome,pe,SRLand,-3.2651305199
AEZ3,HighIncome,pe,SRLand,-2.7044792175
AEZ4,HighIncome,pe,SRLand,-1.6349126101
AEZ5,HighIncome,pe,SRLand,-2.5980343819
AEZ6,HighIncome,pe,SRLand,-3.181866169
AEZ7,HighIncome,pe,SRLand,-5.9353132248
AEZ8,HighIncome,pe,SRLand,-5.6610631943
AEZ9,HighIncome,pe,SRLand,-3.9217731953
AEZ10,HighIncome,pe,SRLand,-3.3900232315
AEZ11,HighIncome,pe,SRLand,-2.7457308769
AEZ12,HighIncome,pe,SRLand,-4.2643404007
AEZ13,HighIncome,pe,SRLand,-9.298283577
AEZ14,HighIncome,pe,SRLand,-9.3020172119
AEZ15,HighIncome,pe,SRLand,-9.9571266174
AEZ16,HighIncome,pe,SRLand,-9.7640304565
AEZ17,HighIncome,pe,SRLand,-9.9571266174
AEZ18,HighIncome,pe,SRLand,-9.9571266174
UnSkLab,HighIncome,pe,SRLand,0.023124212399
SkLab,HighIncome,pe,SRLand,-0.050783585757
Capital,HighIncome,pe,SRLand,0.039817009121
NatRes,HighIncome,pe,SRLand,0.28923687339
AEZ1,MidIncome,pe,SRLand,-5.6328887939
AEZ2,MidIncome,pe,SRLand,-1.1377007961
AEZ3,MidIncome,pe,SRLand,-1.3587758541
AEZ4,MidIncome,pe,SRLand,-0.57108473778
AEZ5,MidIncome,pe,SRLand,-0.79685813189
AEZ6,MidIncome,pe,SRLand,-2.4179491997
AEZ7,MidIncome,pe,SRLand,-2.9137942791
AEZ8,MidIncome,pe,SRLand,-3.9039819241
AEZ9,MidIncome,pe,SRLand,-3.6004612446
AEZ10,MidIncome,pe,SRLand,-4.7327876091
AEZ11,MidIncome,pe,SRLand,-3.8975994587
AEZ12,MidIncome,pe,SRLand,-3.8453168869
AEZ13,MidIncome,pe,SRLand,-7.8053836823
AEZ14,MidIncome,pe,SRLand,-7.2820773125
AEZ15,MidIncome,pe,SRLand,-7.965549469
AEZ16,MidIncome,pe,SRLand,-5.0975942612
AEZ17,MidIncome,pe,SRLand,-16.200658798
AEZ18,MidIncome,pe,SRLand,-18.218008041
UnSkLab,MidIncome,pe,SRLand,0.11355194449
SkLab,MidIncome,pe,SRLand,0.086680211127
Capital,MidIncome,pe,SRLand,0.11774262041
NatRes,MidIncome,pe,SRLand,0.22747930884
AEZ1,LowIncome,pe,SRLand,-13.678019524
AEZ2,LowIncome,pe,SRLand,-13.687721252
AEZ3,LowIncome,pe,SRLand,-13.247321129
AEZ4,LowIncome,pe,SRLand,-13.426749229
AEZ5,LowIncome,pe,SRLand,-13.054965973
AEZ6,LowIncome,pe,SRLand,-11.958423615
AEZ7,LowIncome,pe,SRLand,-9.6386241913
AEZ8,LowIncome,pe,SRLand,-5.6212625504
AEZ9,LowIncome,pe,SRLand,-7.1230254173
AEZ10,LowIncome,pe,SRLand,-5.6493425369
AEZ11,LowIncome,pe,SRLand,-5.8161916733
AEZ12,LowIncome,pe,SRLand,-6.4176712036
AEZ13,LowIncome,pe,SRLand,-13.275458336
AEZ14,LowIncome,pe,SRLand,-8.9891614914
AEZ15,LowIncome,pe,SRLand,-7.4781718254
AEZ16,LowIncome,pe,SRLand,-11.152959824
AEZ17,LowIncome,pe,SRLand,-13.73920536
AEZ18,LowIncome,pe,SRLand,-13.886677742
UnSkLab,LowIncome,pe,SRLand,0.10491315275
SkLab,LowIncome,pe,SRLand,0.098981656134
Capital,LowIncome,pe,SRLand,0.10019645095
NatRes,LowIncome,pe,SRLand,0.24864183366
AEZ1,World,pe,SRLand,-6.165040493
AEZ2,World,pe,SRLand,-1.6341352463
AEZ3,World,pe,SRLand,-1.6607687473
AEZ4,World,pe,SRLand,-0.87011528015
AEZ5,World,pe,SRLand,-1.1314134598
AEZ6,World,pe,SRLand,-2.5735683441
AEZ7,World,pe,SRLand,-3.2792441845
AEZ8,World,pe,SRLand,-4.272002697
AEZ9,World,pe,SRLand,-4.2040534019
AEZ10,World,pe,SRLand,-5.133617878
AEZ11,World,pe,SRLand,-4.6415042877
AEZ12,World,pe,SRLand,-4.1517467499
AEZ13,World,pe,SRLand,-8.8413639069
AEZ14,World,pe,SRLand,-7.801943779
AEZ15,World,pe,SRLand,-7.8505606651
AEZ16,World,pe,SRLand,-5.990439415
AEZ17,World,pe,SRLand,-14.406626701
AEZ18,World,pe,SRLand,-15.330271721
UnSkLab,World,pe,SRLand,0.10715460777
SkLab,World,pe,SRLand,0.090872056782
Capital,World,pe,SRLand,0.10736151785
NatRes,World,pe,SRLand,0.23341408372
AEZ1,HighIncome,qe,SRLand,-0.010751887225
AEZ2,HighIncome,qe,SRLand,-0.012613191269
AEZ3,HighIncome,qe,SRLand,-0.057537700981
AEZ4,HighIncome,qe,SRLand,-0.051011875272
AEZ5,HighIncome,qe,SRLand,-0.033025331795
AEZ6,HighIncome,qe,SRLand,-0.017413362861
AEZ7,HighIncome,qe,SRLand,-0.011198757216
AEZ8,HighIncome,qe,SRLand,-6.64214510470629E-0003
AEZ9,HighIncome,qe,SRLand,-3.49100842140615E-0003
AEZ10,HighIncome,qe,SRLand,-3.45061882399023E-0003
AEZ11,HighIncome,qe,SRLand,-1.62256986368448E-0003
AEZ12,HighIncome,qe,SRLand,-1.93545667571016E-0004
AEZ1,MidIncome,qe,SRLand,-1.65336125064641E-0003
AEZ2,MidIncome,qe,SRLand,-4.68183727934957E-0003
AEZ3,MidIncome,qe,SRLand,-0.012195178308
AEZ4,MidIncome,qe,SRLand,-6.57797884196043E-0003
AEZ5,MidIncome,qe,SRLand,-0.01744905673
AEZ6,MidIncome,qe,SRLand,-0.17978294194
AEZ7,MidIncome,qe,SRLand,1.30004773382097E-0003
AEZ8,MidIncome,qe,SRLand,-0.014333692379
AEZ9,MidIncome,qe,SRLand,-0.013602620922
AEZ10,MidIncome,qe,SRLand,-4.73650498315692E-0003
AEZ11,MidIncome,qe,SRLand,-1.32396770641208E-0003
AEZ12,MidIncome,qe,SRLand,-4.70204418525100E-0003
AEZ13,MidIncome,qe,SRLand,-1.26866012578830E-0004
AEZ14,MidIncome,qe,SRLand,-4.93225827813148E-0003
AEZ15,MidIncome,qe,SRLand,-0.021804781631
AEZ16,MidIncome,qe,SRLand,-8.09347038739361E-0005
AEZ17,MidIncome,qe,SRLand,-7.88699253462255E-0007
AEZ18,MidIncome,qe,SRLand,-2.13144130611909E-0006
AEZ1,LowIncome,qe,SRLand,-1.06689450331032E-0003
AEZ2,LowIncome,qe,SRLand,-9.95602807961404E-0004
AEZ3,LowIncome,qe,SRLand,-1.85160117689520E-0003
AEZ4,LowIncome,qe,SRLand,-1.58338851178996E-0004
AEZ5,LowIncome,qe,SRLand,-1.22814581118291E-0005
AEZ6,LowIncome,qe,SRLand,-1.45389116369188E-0004
AEZ7,LowIncome,qe,SRLand,-0.023912895471
AEZ8,LowIncome,qe,SRLand,-0.048200923949
AEZ9,LowIncome,qe,SRLand,-0.020348964259
AEZ10,LowIncome,qe,SRLand,-0.029167745262
AEZ11,LowIncome,qe,SRLand,-0.017641227692
AEZ12,LowIncome,qe,SRLand,-8.39211978018284E-0003
AEZ13,LowIncome,qe,SRLand,-5.13999339091242E-0006
AEZ14,LowIncome,qe,SRLand,-9.53193102031946E-0003
AEZ15,LowIncome,qe,SRLand,-0.0129725812
AEZ16,LowIncome,qe,SRLand,-2.62741785263643E-0004
AEZ1,World,qe,SRLand,-3.36331571452320E-0003
AEZ2,World,qe,SRLand,-5.50555018708110E-0003
AEZ3,World,qe,SRLand,-0.017400484532
AEZ4,World,qe,SRLand,-0.015691254288
AEZ5,World,qe,SRLand,-0.019541816786
AEZ6,World,qe,SRLand,-0.16304197907
AEZ7,World,qe,SRLand,-5.99901613895781E-0005
AEZ8,World,qe,SRLand,-0.020289232954
AEZ9,World,qe,SRLand,-0.014552840032
AEZ10,World,qe,SRLand,-0.016412753612
AEZ11,World,qe,SRLand,-8.09305906295776E-0003
AEZ12,World,qe,SRLand,-5.05151646211743E-0003
AEZ13,World,qe,SRLand,-9.56854419200681E-0005
AEZ14,World,qe,SRLand,-5.74573874473572E-0003
AEZ15,World,qe,SRLand,-0.01790645346
AEZ16,World,qe,SRLand,-9.75986185949296E-0005
AEZ17,World,qe,SRLand,-4.13421645362178E-0007
AEZ18,World,qe,SRLand,-1.04333014405711E-0006
AEZ1,HighIncome,pe,SRnD20,-7.7891168594
AEZ2,HighIncome,pe,SRnD20,-7.342792511
AEZ3,HighIncome,pe,SRnD20,-6.448943615
AEZ4,HighIncome,pe,SRnD20,-4.7288756371
AEZ5,HighIncome,pe,SRnD20,-7.1122279167
AEZ6,HighIncome,pe,SRnD20,-7.6762866974
AEZ7,HighIncome,pe,SRnD20,-8.6962690353
AEZ8,HighIncome,pe,SRnD20,-8.7569437027
AEZ9,HighIncome,pe,SRnD20,-7.8904504776
AEZ10,HighIncome,pe,SRnD20,-7.3378157616
AEZ11,HighIncome,pe,SRnD20,-6.1523184776
AEZ12,HighIncome,pe,SRnD20,-7.9724445343
AEZ13,HighIncome,pe,SRnD20,-12.360980034
AEZ14,HighIncome,pe,SRnD20,-12.364673615
AEZ15,HighIncome,pe,SRnD20,-13.223631859
AEZ16,HighIncome,pe,SRnD20,-12.972712517
AEZ17,HighIncome,pe,SRnD20,-13.223630905
AEZ18,HighIncome,pe,SRnD20,-13.223630905
UnSkLab,HighIncome,pe,SRnD20,0.38515526056
SkLab,HighIncome,pe,SRnD20,0.14913102984
Capital,HighIncome,pe,SRnD20,0.3945132494
NatRes,HighIncome,pe,SRnD20,0.89999347925
AEZ1,MidIncome,pe,SRnD20,-8.605670929
AEZ2,MidIncome,pe,SRnD20,-3.7383079529
AEZ3,MidIncome,pe,SRnD20,-3.2453589439
AEZ4,MidIncome,pe,SRnD20,-2.1986279488
AEZ5,MidIncome,pe,SRnD20,-3.6726021767
AEZ6,MidIncome,pe,SRnD20,-4.7270097733
AEZ7,MidIncome,pe,SRnD20,-5.860435009
AEZ8,MidIncome,pe,SRnD20,-7.3370332718
AEZ9,MidIncome,pe,SRnD20,-7.6793174744
AEZ10,MidIncome,pe,SRnD20,-9.0751914978
AEZ11,MidIncome,pe,SRnD20,-8.5431413651
AEZ12,MidIncome,pe,SRnD20,-9.4580173492
AEZ13,MidIncome,pe,SRnD20,-11.760422707
AEZ14,MidIncome,pe,SRnD20,-11.009878159
AEZ15,MidIncome,pe,SRnD20,-11.270237923
AEZ16,MidIncome,pe,SRnD20,-7.8015627861
AEZ17,MidIncome,pe,SRnD20,-20.05370903
AEZ18,MidIncome,pe,SRnD20,-22.321022034
UnSkLab,MidIncome,pe,SRnD20,0.28430712223
SkLab,MidIncome,pe,SRnD20,0.21659597754
Capital,MidIncome,pe,SRnD20,0.31586939096
NatRes,MidIncome,pe,SRnD20,0.67643100023
AEZ1,LowIncome,pe,SRnD20,-20.398059845
AEZ2,LowIncome,pe,SRnD20,-20.436309814
AEZ3,LowIncome,pe,SRnD20,-20.194223404
AEZ4,LowIncome,pe,SRnD20,-20.195743561
AEZ5,LowIncome,pe,SRnD20,-19.566526413
AEZ6,LowIncome,pe,SRnD20,-18.837968826
AEZ7,LowIncome,pe,SRnD20,-16.257751465
AEZ8,LowIncome,pe,SRnD20,-13.122794151
AEZ9,LowIncome,pe,SRnD20,-14.187398911
AEZ10,LowIncome,pe,SRnD20,-11.212273598
AEZ11,LowIncome,pe,SRnD20,-10.357242584
AEZ12,LowIncome,pe,SRnD20,-10.822441101
AEZ13,LowIncome,pe,SRnD20,-19.880142212
AEZ14,LowIncome,pe,SRnD20,-14.034223557
AEZ15,LowIncome,pe,SRnD20,-12.338225365
AEZ16,LowIncome,pe,SRnD20,-16.929367065
AEZ17,LowIncome,pe,SRnD20,-20.26499176
