REGWLD,GDPS,SCEN,Value
E_Asia,GDPpct,BAU_noES,64.676353455
EGY,GDPpct,BAU_noES,57.582115173
ETH,GDPpct,BAU_noES,39.02702713
EU27,GDPpct,BAU_noES,17.494537354
IDN,GDPpct,BAU_noES,31.1667099
INDIA,GDPpct,BAU_noES,60.891349792
JAPAN,GDPpct,BAU_noES,13.435319901
KOR,GDPpct,BAU_noES,37.308010101
MAR,GDPpct,BAU_noES,34.092430115
MDG,GDPpct,BAU_noES,24.860054016
MEAS_NAfr,GDPpct,BAU_noES,22.778007507
MEX,GDPpct,BAU_noES,28.429502487
MYS,GDPpct,BAU_noES,39.056983948
NGA,GDPpct,BAU_noES,75.715370178
Oceania,GDPpct,BAU_noES,32.065856934
Oth_CEE_CIS,GDPpct,BAU_noES,50.280464172
Oth_Europe,GDPpct,BAU_noES,18.49546814
PAK,GDPpct,BAU_noES,37.337703705
PHL,GDPpct,BAU_noES,54.269203186
POL,GDPpct,BAU_noES,41.03194046
R_S_Asia,GDPpct,BAU_noES,39.863704681
R_SE_Asia,GDPpct,BAU_noES,35.717662811
Russia,GDPpct,BAU_noES,35.381980896
S_o_Amer,GDPpct,BAU_noES,26.60461235
S_S_AFR,GDPpct,BAU_noES,52.067405701
TUR,GDPpct,BAU_noES,47.503952026
USA,GDPpct,BAU_noES,17.077690125
VNM,GDPpct,BAU_noES,49.814605713
XAC,GDPpct,BAU_noES,67.973426819
ZAF,GDPpct,BAU_noES,34.81697464
World,GDPpct,BAU_noES,32.528938293
ARG,RealGDPvalch,BAU_noES,170858.28125
BGD,RealGDPvalch,BAU_noES,87259.601563
BRAZIL,RealGDPvalch,BAU_noES,710024.1875
C_C_Amer,RealGDPvalch,BAU_noES,234673.92187
CAN,RealGDPvalch,BAU_noES,582516.0625
CHIHKG,RealGDPvalch,BAU_noES,10098219
COL,RealGDPvalch,BAU_noES,81011.445313
E_Asia,RealGDPvalch,BAU_noES,72443.9375
EGY,RealGDPvalch,BAU_noES,226718.42188
ETH,RealGDPvalch,BAU_noES,26952.335937
EU27,RealGDPvalch,BAU_noES,3293492.5
IDN,RealGDPvalch,BAU_noES,313033
INDIA,RealGDPvalch,BAU_noES,1536877.375
JAPAN,RealGDPvalch,BAU_noES,625425.5
KOR,RealGDPvalch,BAU_noES,605180
MAR,RealGDPvalch,BAU_noES,43275.5625
MDG,RealGDPvalch,BAU_noES,3247.065918
