REGWLD,GDPS,SCEN,Value
EU27,NomGDPvalch,NATPES,616
IDN,NomGDPvalch,NATPES,1126.875
INDIA,NomGDPvalch,NATPES,-1394.25
JAPAN,NomGDPvalch,NATPES,-389.5
KOR,NomGDPvalch,NATPES,-708.375
MAR,NomGDPvalch,NATPES,-328.703125
MDG,NomGDPvalch,NATPES,-9.95703125
MEAS_NAfr,NomGDPvalch,NATPES,3031
MEX,NomGDPvalch,NATPES,-430.375
MYS,NomGDPvalch,NATPES,-281.15625
NGA,NomGDPvalch,NATPES,1627.375
Oceania,NomGDPvalch,NATPES,665.25
Oth_CEE_CIS,NomGDPvalch,NATPES,-227.75
Oth_Europe,NomGDPvalch,NATPES,582.25
PAK,NomGDPvalch,NATPES,-326.578125
PHL,NomGDPvalch,NATPES,-76.75
POL,NomGDPvalch,NATPES,512.5
R_S_Asia,NomGDPvalch,NATPES,-116.40625
R_SE_Asia,NomGDPvalch,NATPES,-301.5
Russia,NomGDPvalch,NATPES,2827.5
S_o_Amer,NomGDPvalch,NATPES,178.75
S_S_AFR,NomGDPvalch,NATPES,-1117.125
TUR,NomGDPvalch,NATPES,-274.125
USA,NomGDPvalch,NATPES,-626
VNM,NomGDPvalch,NATPES,60.4375
XAC,NomGDPvalch,NATPES,78.53125
ZAF,NomGDPvalch,NATPES,-226.84375
World,NomGDPvalch,NATPES,6607.7773437
ARG,GDPpct,SRLand,0.032156206667
BGD,GDPpct,SRLand,-0.062781967223
BRAZIL,GDPpct,SRLand,0.014043070376
C_C_Amer,GDPpct,SRLand,0.046769239008
CAN,GDPpct,SRLand,-6.10857456922531E-0003
CHIHKG,GDPpct,SRLand,0.030011894181
COL,GDPpct,SRLand,0.012717834674
E_Asia,GDPpct,SRLand,7.61123513802886E-0003
EGY,GDPpct,SRLand,0.26506993175
ETH,GDPpct,SRLand,0.038408629596
EU27,GDPpct,SRLand,9.69716906547546E-0003
IDN,GDPpct,SRLand,0.06575410068
INDIA,GDPpct,SRLand,0.082684583962
JAPAN,GDPpct,SRLand,0.014841889963
KOR,GDPpct,SRLand,0.015840176493
MAR,GDPpct,SRLand,0.071966379881
MDG,GDPpct,SRLand,0.073980160058
MEAS_NAfr,GDPpct,SRLand,0.073004946113
MEX,GDPpct,SRLand,0.010370839387
MYS,GDPpct,SRLand,0.027235563844
NGA,GDPpct,SRLand,-0.016353137791
Oceania,GDPpct,SRLand,8.31303372979164E-0003
Oth_CEE_CIS,GDPpct,SRLand,0.054350588471
Oth_Europe,GDPpct,SRLand,0.058913324028
PAK,GDPpct,SRLand,-0.01191846095
PHL,GDPpct,SRLand,0.035998038948
POL,GDPpct,SRLand,0.078757822514
R_S_Asia,GDPpct,SRLand,0.22241973877
R_SE_Asia,GDPpct,SRLand,0.010799111798
Russia,GDPpct,SRLand,0.015980919823
S_o_Amer,GDPpct,SRLand,0.032898847014
S_S_AFR,GDPpct,SRLand,-9.13022086024284E-0003
TUR,GDPpct,SRLand,0.014220009558
USA,GDPpct,SRLand,0.012632329948
VNM,GDPpct,SRLand,1.18576840031892E-0003
XAC,GDPpct,SRLand,0.014200268313
ZAF,GDPpct,SRLand,-3.44114401377738E-0003
World,GDPpct,SRLand,0.02354744263
ARG,RealGDPvalch,SRLand,215.0929718
BGD,RealGDPvalch,SRLand,-188.58399963
BRAZIL,RealGDPvalch,SRLand,444.71243286
C_C_Amer,RealGDPvalch,SRLand,341.24438477
CAN,RealGDPvalch,SRLand,-159.8236084
CHIHKG,RealGDPvalch,SRLand,5685.1552734
COL,RealGDPvalch,SRLand,71.757659912
E_Asia,RealGDPvalch,SRLand,12.579155922
EGY,RealGDPvalch,SRLand,1440.3032227
ETH,RealGDPvalch,SRLand,37.714424133
EU27,RealGDPvalch,SRLand,1893.3144531
IDN,RealGDPvalch,SRLand,762.49133301
INDIA,RealGDPvalch,SRLand,2332.1689453
JAPAN,RealGDPvalch,SRLand,652.15759277
KOR,RealGDPvalch,SRLand,273.72497559
MAR,RealGDPvalch,SRLand,106.13746643
MDG,RealGDPvalch,SRLand,13.832619667
MEAS_NAfr,RealGDPvalch,SRLand,3466.9089355
MEX,RealGDPvalch,SRLand,169.48867798
MYS,RealGDPvalch,SRLand,133.07754517
NGA,RealGDPvalch,SRLand,-255.57331848
Oceania,RealGDPvalch,SRLand,248.23118591
Oth_CEE_CIS,RealGDPvalch,SRLand,799.11993408
Oth_Europe,RealGDPvalch,SRLand,918.29187012
PAK,RealGDPvalch,SRLand,-30.769845963
PHL,RealGDPvalch,SRLand,177.95709229
POL,RealGDPvalch,SRLand,588.33795166
R_S_Asia,RealGDPvalch,SRLand,413.93792725
R_SE_Asia,RealGDPvalch,SRLand,104.75494385
Russia,RealGDPvalch,SRLand,585.65606689
S_o_Amer,RealGDPvalch,SRLand,569.76403809
S_S_AFR,RealGDPvalch,SRLand,-104.85325623
TUR,RealGDPvalch,SRLand,160.54586792
USA,RealGDPvalch,SRLand,2586.1479492
VNM,RealGDPvalch,SRLand,3.9038059711
XAC,RealGDPvalch,SRLand,70.342468262
ZAF,RealGDPvalch,SRLand,-16.410181046
World,RealGDPvalch,SRLand,24522.839844
ARG,NomGDPvalch,SRLand,1483.5
BGD,NomGDPvalch,SRLand,290.53125
BRAZIL,NomGDPvalch,SRLand,1844.5
C_C_Amer,NomGDPvalch,SRLand,1832.3125
CAN,NomGDPvalch,SRLand,2145.5
CHIHKG,NomGDPvalch,SRLand,25088
COL,NomGDPvalch,SRLand,1203.0625
E_Asia,NomGDPvalch,SRLand,245.125
EGY,NomGDPvalch,SRLand,1369.5625
ETH,NomGDPvalch,SRLand,-160.8671875
EU27,NomGDPvalch,SRLand,22254
IDN,NomGDPvalch,SRLand,2591.125
INDIA,NomGDPvalch,SRLand,2753.25
JAPAN,NomGDPvalch,SRLand,3436.5
KOR,NomGDPvalch,SRLand,1357.875
MAR,NomGDPvalch,SRLand,-106.640625
MDG,NomGDPvalch,SRLand,14.47265625
MEAS_NAfr,NomGDPvalch,SRLand,6902.5
MEX,NomGDPvalch,SRLand,1881.25
MYS,NomGDPvalch,SRLand,639.1875
NGA,NomGDPvalch,SRLand,3004.625
Oceania,NomGDPvalch,SRLand,4804.5
Oth_CEE_CIS,NomGDPvalch,SRLand,579.375
Oth_Europe,NomGDPvalch,SRLand,2091.25
PAK,NomGDPvalch,SRLand,126.875
PHL,NomGDPvalch,SRLand,628.40625
POL,NomGDPvalch,SRLand,1467.4375
R_S_Asia,NomGDPvalch,SRLand,440.359375
R_SE_Asia,NomGDPvalch,SRLand,792.5625
Russia,NomGDPvalch,SRLand,7545
S_o_Amer,NomGDPvalch,SRLand,2606.875
S_S_AFR,NomGDPvalch,SRLand,2000.625
TUR,NomGDPvalch,SRLand,93.375
USA,NomGDPvalch,SRLand,23774
VNM,NomGDPvalch,SRLand,403.53125
XAC,NomGDPvalch,SRLand,692.78125
ZAF,NomGDPvalch,SRLand,420.25
World,NomGDPvalch,SRLand,128536.57812
ARG,GDPpct,SRnD20,0.029424825683
BGD,GDPpct,SRnD20,0.14000253379
BRAZIL,GDPpct,SRnD20,0.023581452668
C_C_Amer,GDPpct,SRnD20,0.30656355619
CAN,GDPpct,SRnD20,2.40523065440357E-0003
CHIHKG,GDPpct,SRnD20,0.1349401474
COL,GDPpct,SRnD20,0.02384952642
E_Asia,GDPpct,SRnD20,0.12170664221
EGY,GDPpct,SRnD20,0.42798453569
ETH,GDPpct,SRnD20,0.79061704874
EU27,GDPpct,SRnD20,0.019120212644
IDN,GDPpct,SRnD20,0.43304929137
INDIA,GDPpct,SRnD20,0.086397819221
JAPAN,GDPpct,SRnD20,0.01855875738
KOR,GDPpct,SRnD20,0.021239802241
MAR,GDPpct,SRnD20,0.19192171097
MDG,GDPpct,SRnD20,0.11260415614
MEAS_NAfr,GDPpct,SRnD20,0.13510559499
MEX,GDPpct,SRnD20,0.1147044003
MYS,GDPpct,SRnD20,0.13029851019
NGA,GDPpct,SRnD20,0.68377488852
Oceania,GDPpct,SRnD20,0.036748178303
Oth_CEE_CIS,GDPpct,SRnD20,0.20084039867
Oth_Europe,GDPpct,SRnD20,0.08133212477
PAK,GDPpct,SRnD20,0.21485435963
PHL,GDPpct,SRnD20,0.28007480502
POL,GDPpct,SRnD20,0.14129428566
R_S_Asia,GDPpct,SRnD20,0.34013238549
R_SE_Asia,GDPpct,SRnD20,0.22408558428
Russia,GDPpct,SRnD20,0.062155906111
S_o_Amer,GDPpct,SRnD20,0.059650357813
S_S_AFR,GDPpct,SRnD20,0.30514708161
TUR,GDPpct,SRnD20,0.094853870571
USA,GDPpct,SRnD20,9.22256801277399E-0003
VNM,GDPpct,SRnD20,0.32884722948
XAC,GDPpct,SRnD20,0.099184654653
ZAF,GDPpct,SRnD20,-7.60765559971333E-0003
World,GDPpct,SRnD20,0.083910629153
ARG,RealGDPvalch,SRnD20,196.82276917
BGD,RealGDPvalch,SRnD20,420.5385437
BRAZIL,RealGDPvalch,SRnD20,746.77154541
C_C_Amer,RealGDPvalch,SRnD20,2236.7927246
CAN,RealGDPvalch,SRnD20,62.930007935
CHIHKG,RealGDPvalch,SRnD20,25561.722656
COL,RealGDPvalch,SRnD20,134.56585693
E_Asia,RealGDPvalch,SRnD20,201.14564514
EGY,RealGDPvalch,SRnD20,2325.527832
ETH,RealGDPvalch,SRnD20,776.32727051
EU27,RealGDPvalch,SRnD20,3733.1074219
IDN,RealGDPvalch,SRnD20,5021.6845703
INDIA,RealGDPvalch,SRnD20,2436.902832
JAPAN,RealGDPvalch,SRnD20,815.47802734
KOR,RealGDPvalch,SRnD20,367.0328064
MAR,RealGDPvalch,SRnD20,283.04998779
MDG,RealGDPvalch,SRnD20,21.054433823
MEAS_NAfr,RealGDPvalch,SRnD20,6415.9868164
MEX,RealGDPvalch,SRnD20,1874.5925293
MYS,RealGDPvalch,SRnD20,636.66046143
NGA,RealGDPvalch,SRnD20,10686.304688
Oceania,RealGDPvalch,SRnD20,1097.3182373
Oth_CEE_CIS,RealGDPvalch,SRnD20,2952.9682617
Oth_Europe,RealGDPvalch,SRnD20,1267.7374268
PAK,RealGDPvalch,SRnD20,554.68865967
PHL,RealGDPvalch,SRnD20,1384.5559082
POL,RealGDPvalch,SRnD20,1055.4987793
R_S_Asia,RealGDPvalch,SRnD20,633.0090332
R_SE_Asia,RealGDPvalch,SRnD20,2173.7041016
Russia,RealGDPvalch,SRnD20,2277.840332
S_o_Amer,RealGDPvalch,SRnD20,1033.0643311
S_S_AFR,RealGDPvalch,SRnD20,3504.3691406
TUR,RealGDPvalch,SRnD20,1070.913208
USA,RealGDPvalch,SRnD20,1888.0860596
VNM,RealGDPvalch,SRnD20,1082.6362305
XAC,RealGDPvalch,SRnD20,491.32125854
ZAF,RealGDPvalch,SRnD20,-36.279506683
World,RealGDPvalch,SRnD20,87386.429687
ARG,NomGDPvalch,SRnD20,-1007.1875
BGD,NomGDPvalch,SRnD20,550.8125
BRAZIL,NomGDPvalch,SRnD20,-3452.75
C_C_Amer,NomGDPvalch,SRnD20,2263.625
CAN,NomGDPvalch,SRnD20,3338.5
CHIHKG,NomGDPvalch,SRnD20,43460
COL,NomGDPvalch,SRnD20,1604.9375
E_Asia,NomGDPvalch,SRnD20,213.640625
EGY,NomGDPvalch,SRnD20,1525.125
ETH,NomGDPvalch,SRnD20,-1345.171875
EU27,NomGDPvalch,SRnD20,24326
IDN,NomGDPvalch,SRnD20,5748.125
INDIA,NomGDPvalch,SRnD20,-4647
JAPAN,NomGDPvalch,SRnD20,3858
KOR,NomGDPvalch,SRnD20,881.5
MAR,NomGDPvalch,SRnD20,151.546875
MDG,NomGDPvalch,SRnD20,-6.3203125
MEAS_NAfr,NomGDPvalch,SRnD20,18132.5
MEX,NomGDPvalch,SRnD20,3172.625
MYS,NomGDPvalch,SRnD20,953.71875
NGA,NomGDPvalch,SRnD20,-4843.125
Oceania,NomGDPvalch,SRnD20,6841.25
Oth_CEE_CIS,NomGDPvalch,SRnD20,1240.625
Oth_Europe,NomGDPvalch,SRnD20,4153.75
PAK,NomGDPvalch,SRnD20,517.8125
PHL,NomGDPvalch,SRnD20,825.125
POL,NomGDPvalch,SRnD20,1650.8125
R_S_Asia,NomGDPvalch,SRnD20,360.9375
R_SE_Asia,NomGDPvalch,SRnD20,1258.6875
Russia,NomGDPvalch,SRnD20,14689
S_o_Amer,NomGDPvalch,SRnD20,2292.375
S_S_AFR,NomGDPvalch,SRnD20,337.625
TUR,NomGDPvalch,SRnD20,-37.625
USA,NomGDPvalch,SRnD20,20598
VNM,NomGDPvalch,SRnD20,957.28125
XAC,NomGDPvalch,SRnD20,2401
ZAF,NomGDPvalch,SRnD20,26.53125
World,NomGDPvalch,SRnD20,152992.28125
ARG,GDPpct,GPESSRRnD20,0.031793825328
BGD,GDPpct,GPESSRRnD20,0.13409414887
BRAZIL,GDPpct,GPESSRRnD20,0.02412721701
C_C_Amer,GDPpct,GPESSRRnD20,0.30739325285
CAN,GDPpct,GPESSRRnD20,-1.83978781569749E-0003
CHIHKG,GDPpct,GPESSRRnD20,0.13477924466
COL,GDPpct,GPESSRRnD20,0.024031193927
E_Asia,GDPpct,GPESSRRnD20,0.10080744326
EGY,GDPpct,GPESSRRnD20,0.43320286274
ETH,GDPpct,GPESSRRnD20,0.79233849049
EU27,GDPpct,GPESSRRnD20,0.01297798939
IDN,GDPpct,GPESSRRnD20,0.14477439225
INDIA,GDPpct,GPESSRRnD20,0.076929971576
JAPAN,GDPpct,GPESSRRnD20,0.017079349607
KOR,GDPpct,GPESSRRnD20,0.018378617242
MAR,GDPpct,GPESSRRnD20,0.19094565511
MDG,GDPpct,GPESSRRnD20,0.11008907109
MEAS_NAfr,GDPpct,GPESSRRnD20,0.13135753572
MEX,GDPpct,GPESSRRnD20,0.10763648897
MYS,GDPpct,GPESSRRnD20,0.064884476364
NGA,GDPpct,GPESSRRnD20,0.68252128363
Oceania,GDPpct,GPESSRRnD20,0.032733011991
Oth_CEE_CIS,GDPpct,GPESSRRnD20,0.200543046
Oth_Europe,GDPpct,GPESSRRnD20,0.080443792045
PAK,GDPpct,GPESSRRnD20,0.2116715014
PHL,GDPpct,GPESSRRnD20,0.28106707335
POL,GDPpct,GPESSRRnD20,0.14195494354
R_S_Asia,GDPpct,GPESSRRnD20,0.33678081632
R_SE_Asia,GDPpct,GPESSRRnD20,0.21788151562
Russia,GDPpct,GPESSRRnD20,0.060315527022
S_o_Amer,GDPpct,GPESSRRnD20,0.059878069907
S_S_AFR,GDPpct,GPESSRRnD20,0.24372363091
TUR,GDPpct,GPESSRRnD20,0.093976326287
USA,GDPpct,GPESSRRnD20,4.52679116278887E-0003
VNM,GDPpct,GPESSRRnD20,0.32989388704
XAC,GDPpct,GPESSRRnD20,0.062919639051
ZAF,GDPpct,GPESSRRnD20,-0.014238860458
World,GDPpct,GPESSRRnD20,0.076389499009
ARG,RealGDPvalch,GPESSRRnD20,212.66900635
BGD,RealGDPvalch,GPESSRRnD20,402.79101563
BRAZIL,RealGDPvalch,GPESSRRnD20,764.0546875
C_C_Amer,RealGDPvalch,GPESSRRnD20,2242.8464355
CAN,RealGDPvalch,GPESSRRnD20,-48.135864258
CHIHKG,RealGDPvalch,GPESSRRnD20,25531.244141
COL,RealGDPvalch,GPESSRRnD20,135.59088135
E_Asia,RealGDPvalch,GPESSRRnD20,166.60534668
EGY,RealGDPvalch,GPESSRRnD20,2353.8825684
ETH,RealGDPvalch,GPESSRRnD20,778.01763916
EU27,RealGDPvalch,GPESSRRnD20,2533.875
IDN,RealGDPvalch,GPESSRRnD20,1678.8189697
INDIA,RealGDPvalch,GPESSRRnD20,2169.8564453
JAPAN,RealGDPvalch,GPESSRRnD20,750.47235107
KOR,RealGDPvalch,GPESSRRnD20,317.59033203
MAR,RealGDPvalch,GPESSRRnD20,281.61050415
MDG,RealGDPvalch,GPESSRRnD20,20.584169388
MEAS_NAfr,RealGDPvalch,GPESSRRnD20,6237.996582
MEX,RealGDPvalch,GPESSRRnD20,1759.0830078
MYS,RealGDPvalch,GPESSRRnD20,317.03646851
NGA,RealGDPvalch,GPESSRRnD20,10666.712891
Oceania,RealGDPvalch,GPESSRRnD20,977.42340088
Oth_CEE_CIS,RealGDPvalch,GPESSRRnD20,2948.5964355
Oth_Europe,RealGDPvalch,GPESSRRnD20,1253.8908691
PAK,RealGDPvalch,GPESSRRnD20,546.47155762
PHL,RealGDPvalch,GPESSRRnD20,1389.4611816
POL,RealGDPvalch,GPESSRRnD20,1060.434082
R_S_Asia,RealGDPvalch,GPESSRRnD20,626.77154541
R_SE_Asia,RealGDPvalch,GPESSRRnD20,2113.5227051
Russia,RealGDPvalch,GPESSRRnD20,2210.395752
S_o_Amer,RealGDPvalch,GPESSRRnD20,1037.0080566
S_S_AFR,RealGDPvalch,GPESSRRnD20,2798.9702148
TUR,RealGDPvalch,GPESSRRnD20,1061.0056152
USA,RealGDPvalch,GPESSRRnD20,926.74523926
VNM,RealGDPvalch,GPESSRRnD20,1086.0820312
XAC,RealGDPvalch,GPESSRRnD20,311.67883301
ZAF,RealGDPvalch,GPESSRRnD20,-67.902496338
World,RealGDPvalch,GPESSRRnD20,79553.757812
ARG,NomGDPvalch,GPESSRRnD20,-271.1875
BGD,NomGDPvalch,GPESSRRnD20,518.65625
BRAZIL,NomGDPvalch,GPESSRRnD20,-1554.5
C_C_Amer,NomGDPvalch,GPESSRRnD20,2509.1875
CAN,NomGDPvalch,GPESSRRnD20,1275.5
CHIHKG,NomGDPvalch,GPESSRRnD20,43040
COL,NomGDPvalch,GPESSRRnD20,1644.75
E_Asia,NomGDPvalch,GPESSRRnD20,240.421875
EGY,NomGDPvalch,GPESSRRnD20,1608.9375
ETH,NomGDPvalch,GPESSRRnD20,-1147.3828125
EU27,NomGDPvalch,GPESSRRnD20,16122
IDN,NomGDPvalch,GPESSRRnD20,11524.25
INDIA,NomGDPvalch,GPESSRRnD20,-2638.75
JAPAN,NomGDPvalch,GPESSRRnD20,2188
KOR,NomGDPvalch,GPESSRRnD20,798.25
MAR,NomGDPvalch,GPESSRRnD20,232.40625
MDG,NomGDPvalch,GPESSRRnD20,12.849609375
MEAS_NAfr,NomGDPvalch,GPESSRRnD20,16147.5
MEX,NomGDPvalch,GPESSRRnD20,3501
MYS,NomGDPvalch,GPESSRRnD20,1005.9375
NGA,NomGDPvalch,GPESSRRnD20,-5432
Oceania,NomGDPvalch,GPESSRRnD20,4601
Oth_CEE_CIS,NomGDPvalch,GPESSRRnD20,1558.125
Oth_Europe,NomGDPvalch,GPESSRRnD20,3782.875
PAK,NomGDPvalch,GPESSRRnD20,630.546875
PHL,NomGDPvalch,GPESSRRnD20,879.6875
POL,NomGDPvalch,GPESSRRnD20,1670.125
R_S_Asia,NomGDPvalch,GPESSRRnD20,429.859375
R_SE_Asia,NomGDPvalch,GPESSRRnD20,1506.375
Russia,NomGDPvalch,GPESSRRnD20,13868.5
S_o_Amer,NomGDPvalch,GPESSRRnD20,2669.375
S_S_AFR,NomGDPvalch,GPESSRRnD20,4007.5
TUR,NomGDPvalch,GPESSRRnD20,56.375
USA,NomGDPvalch,GPESSRRnD20,4480
VNM,NomGDPvalch,GPESSRRnD20,938.5
XAC,NomGDPvalch,GPESSRRnD20,5271
ZAF,NomGDPvalch,GPESSRRnD20,335.34375
World,NomGDPvalch,GPESSRRnD20,138011.01563
ARG,GDPpct,BAU_aESRigid,8.26768204569817E-0003
BGD,GDPpct,BAU_aESRigid,-2.1576120853
BRAZIL,GDPpct,BAU_aESRigid,-0.046750158072
C_C_Amer,GDPpct,BAU_aESRigid,-0.18794743717
CAN,GDPpct,BAU_aESRigid,6.20549311861396E-0003
CHIHKG,GDPpct,BAU_aESRigid,-0.30261421204
COL,GDPpct,BAU_aESRigid,0.054356936365
E_Asia,GDPpct,BAU_aESRigid,0.012046795338
EGY,GDPpct,BAU_aESRigid,-0.564891994
ETH,GDPpct,BAU_aESRigid,-0.3299177587
EU27,GDPpct,BAU_aESRigid,-3.98112274706364E-0003
IDN,GDPpct,BAU_aESRigid,-0.33856758475
INDIA,GDPpct,BAU_aESRigid,-0.19337895513
JAPAN,GDPpct,BAU_aESRigid,-0.042910955846
KOR,GDPpct,BAU_aESRigid,-0.12638171017
MAR,GDPpct,BAU_aESRigid,0.23748533428
MDG,GDPpct,BAU_aESRigid,-1.0677813292
MEAS_NAfr,GDPpct,BAU_aESRigid,0.08531010896
MEX,GDPpct,BAU_aESRigid,2.24425084888935E-0003
MYS,GDPpct,BAU_aESRigid,-0.38122946024
NGA,GDPpct,BAU_aESRigid,-0.077913038433
Oceania,GDPpct,BAU_aESRigid,0.092291273177
Oth_CEE_CIS,GDPpct,BAU_aESRigid,-0.014887488447
Oth_Europe,GDPpct,BAU_aESRigid,-0.064942374825
PAK,GDPpct,BAU_aESRigid,0.1744325757
PHL,GDPpct,BAU_aESRigid,0.25536885858
POL,GDPpct,BAU_aESRigid,-0.096668452024
R_S_Asia,GDPpct,BAU_aESRigid,-0.53057992458
R_SE_Asia,GDPpct,BAU_aESRigid,-0.17242872715
Russia,GDPpct,BAU_aESRigid,0.062684163451
S_o_Amer,GDPpct,BAU_aESRigid,-0.064026728272
S_S_AFR,GDPpct,BAU_aESRigid,0.039457216859
TUR,GDPpct,BAU_aESRigid,-0.079230353236
USA,GDPpct,BAU_aESRigid,-8.47939588129520E-0003
VNM,GDPpct,BAU_aESRigid,-0.09204223007
XAC,GDPpct,BAU_aESRigid,1.2308709621
ZAF,GDPpct,BAU_aESRigid,-0.016876010224
World,GDPpct,BAU_aESRigid,-0.075411863625
ARG,RealGDPvalch,BAU_aESRigid,55.399837494
BGD,RealGDPvalch,BAU_aESRigid,-6263.5717773
BRAZIL,RealGDPvalch,BAU_aESRigid,-1480.5577393
C_C_Amer,RealGDPvalch,BAU_aESRigid,-1379.7218018
CAN,RealGDPvalch,BAU_aESRigid,161.4230957
CHIHKG,RealGDPvalch,BAU_aESRigid,-57590.109375
COL,RealGDPvalch,BAU_aESRigid,303.27276611
E_Asia,RealGDPvalch,BAU_aESRigid,19.862482071
EGY,RealGDPvalch,BAU_aESRigid,-3082.670166
ETH,RealGDPvalch,BAU_aESRigid,-318.56643677
EU27,RealGDPvalch,BAU_aESRigid,-778.66833496
IDN,RealGDPvalch,BAU_aESRigid,-3941.9833984
INDIA,RealGDPvalch,BAU_aESRigid,-5526.184082
JAPAN,RealGDPvalch,BAU_aESRigid,-1897.1444092
KOR,RealGDPvalch,BAU_aESRigid,-2203.8442383
MAR,RealGDPvalch,BAU_aESRigid,351.1328125
MDG,RealGDPvalch,BAU_aESRigid,-198.6408844
MEAS_NAfr,RealGDPvalch,BAU_aESRigid,3988.0847168
MEX,RealGDPvalch,BAU_aESRigid,36.605636597
MYS,RealGDPvalch,BAU_aESRigid,-1860.791748
NGA,RealGDPvalch,BAU_aESRigid,-1201.3596191
Oceania,RealGDPvalch,BAU_aESRigid,2719.9987793
Oth_CEE_CIS,RealGDPvalch,BAU_aESRigid,-217.89337158
Oth_Europe,RealGDPvalch,BAU_aESRigid,-1007.7432251
PAK,RealGDPvalch,BAU_aESRigid,451.11010742
PHL,RealGDPvalch,BAU_aESRigid,1261.5773926
POL,RealGDPvalch,BAU_aESRigid,-724.98132324
R_S_Asia,RealGDPvalch,BAU_aESRigid,-991.0960083
R_SE_Asia,RealGDPvalch,BAU_aESRigid,-1684.9541016
Russia,RealGDPvalch,BAU_aESRigid,2261.9279785
S_o_Amer,RealGDPvalch,BAU_aESRigid,-1103.0836182
S_S_AFR,RealGDPvalch,BAU_aESRigid,450.32589722
TUR,RealGDPvalch,BAU_aESRigid,-899.12597656
USA,RealGDPvalch,BAU_aESRigid,-1737.1689453
VNM,RealGDPvalch,BAU_aESRigid,-301.55718994
XAC,RealGDPvalch,BAU_aESRigid,5896.9589844
ZAF,RealGDPvalch,BAU_aESRigid,-80.433052063
World,RealGDPvalch,BAU_aESRigid,-78514.171875
ARG,NomGDPvalch,BAU_aESRigid,-1829.375
BGD,NomGDPvalch,BAU_aESRigid,14135.6875
BRAZIL,NomGDPvalch,BAU_aESRigid,263.5
C_C_Amer,NomGDPvalch,BAU_aESRigid,-5197.4375
CAN,NomGDPvalch,BAU_aESRigid,18294
CHIHKG,NomGDPvalch,BAU_aESRigid,-105066
COL,NomGDPvalch,BAU_aESRigid,7853.6875
E_Asia,NomGDPvalch,BAU_aESRigid,530.234375
EGY,NomGDPvalch,BAU_aESRigid,-1517.125
ETH,NomGDPvalch,BAU_aESRigid,2590.203125
EU27,NomGDPvalch,BAU_aESRigid,-48802
IDN,NomGDPvalch,BAU_aESRigid,-7901.625
INDIA,NomGDPvalch,BAU_aESRigid,-47926.75
JAPAN,NomGDPvalch,BAU_aESRigid,-35198.5
KOR,NomGDPvalch,BAU_aESRigid,-19921.5
MAR,NomGDPvalch,BAU_aESRigid,-753.1875
MDG,NomGDPvalch,BAU_aESRigid,180.70117188
MEAS_NAfr,NomGDPvalch,BAU_aESRigid,91742.5
MEX,NomGDPvalch,BAU_aESRigid,3643.875
MYS,NomGDPvalch,BAU_aESRigid,1162.65625
NGA,NomGDPvalch,BAU_aESRigid,30927.625
Oceania,NomGDPvalch,BAU_aESRigid,53167.25
Oth_CEE_CIS,NomGDPvalch,BAU_aESRigid,8656.5
Oth_Europe,NomGDPvalch,BAU_aESRigid,9278.875
PAK,NomGDPvalch,BAU_aESRigid,-934.703125
PHL,NomGDPvalch,BAU_aESRigid,-1015.46875
POL,NomGDPvalch,BAU_aESRigid,-3580.25
R_S_Asia,NomGDPvalch,BAU_aESRigid,-140.859375
R_SE_Asia,NomGDPvalch,BAU_aESRigid,-8997.5
Russia,NomGDPvalch,BAU_aESRigid,67176
S_o_Amer,NomGDPvalch,BAU_aESRigid,12574.75
S_S_AFR,NomGDPvalch,BAU_aESRigid,10329.5
TUR,NomGDPvalch,BAU_aESRigid,-7577.75
USA,NomGDPvalch,BAU_aESRigid,-22408
VNM,NomGDPvalch,BAU_aESRigid,2044.875
XAC,NomGDPvalch,BAU_aESRigid,18126.28125
ZAF,NomGDPvalch,BAU_aESRigid,444.875
World,NomGDPvalch,BAU_aESRigid,34355.546875
ARG,GDPpct,BAU_aECOLLPS,-2.4515075684
BGD,GDPpct,BAU_aECOLLPS,-15.437130928
BRAZIL,GDPpct,BAU_aECOLLPS,-3.6735727787
C_C_Amer,GDPpct,BAU_aECOLLPS,-2.5251114368
CAN,GDPpct,BAU_aECOLLPS,-0.6195088625
CHIHKG,GDPpct,BAU_aECOLLPS,-3.1422388554
COL,GDPpct,BAU_aECOLLPS,-1.8436008692
E_Asia,GDPpct,BAU_aECOLLPS,-0.21584427357
EGY,GDPpct,BAU_aECOLLPS,-4.1618518829
ETH,GDPpct,BAU_aECOLLPS,-12.395530701
EU27,GDPpct,BAU_aECOLLPS,-0.35538008809
IDN,GDPpct,BAU_aECOLLPS,-6.8281722069
INDIA,GDPpct,BAU_aECOLLPS,-3.9340577126
JAPAN,GDPpct,BAU_aECOLLPS,-0.62992399931
KOR,GDPpct,BAU_aECOLLPS,-1.2146773338
MAR,GDPpct,BAU_aECOLLPS,-2.6140401363
MDG,GDPpct,BAU_aECOLLPS,-157.32687378
MEAS_NAfr,GDPpct,BAU_aECOLLPS,-1.1901353598
MEX,GDPpct,BAU_aECOLLPS,-0.85340380669
MYS,GDPpct,BAU_aECOLLPS,-4.2177619934
NGA,GDPpct,BAU_aECOLLPS,-8.5420866013
Oceania,GDPpct,BAU_aECOLLPS,-0.57681006193
Oth_CEE_CIS,GDPpct,BAU_aECOLLPS,-1.9674984217
Oth_Europe,GDPpct,BAU_aECOLLPS,-1.0761643648
PAK,GDPpct,BAU_aECOLLPS,-13.813931465
