REGWLD,GDPEX,SCEN,Value
USA,Household,BAU_aECOLLPS,0.063544154167
VNM,Household,BAU_aECOLLPS,-15.04690361
XAC,Household,BAU_aECOLLPS,-21.965932846
ZAF,Household,BAU_aECOLLPS,0.91433674097
World,Household,BAU_aECOLLPS,-1.8518843651
ARG,Investment,BAU_aECOLLPS,-0.27136942744
BGD,Investment,BAU_aECOLLPS,-0.36329713464
BRAZIL,Investment,BAU_aECOLLPS,-0.3254686296
C_C_Amer,Investment,BAU_aECOLLPS,-0.2435991466
CAN,Investment,BAU_aECOLLPS,-0.27423647046
CHIHKG,Investment,BAU_aECOLLPS,-0.57389205694
COL,Investment,BAU_aECOLLPS,-0.4867117703
E_Asia,Investment,BAU_aECOLLPS,-0.36417654157
EGY,Investment,BAU_aECOLLPS,-0.14876937866
ETH,Investment,BAU_aECOLLPS,-0.55914849043
EU27,Investment,BAU_aECOLLPS,-0.24815641344
IDN,Investment,BAU_aECOLLPS,-0.57957744598
INDIA,Investment,BAU_aECOLLPS,-0.45777708292
JAPAN,Investment,BAU_aECOLLPS,-0.26848292351
KOR,Investment,BAU_aECOLLPS,-0.46102207899
MAR,Investment,BAU_aECOLLPS,-0.70003199577
MDG,Investment,BAU_aECOLLPS,-0.37641945481
MEAS_NAfr,Investment,BAU_aECOLLPS,-0.4545570612
MEX,Investment,BAU_aECOLLPS,-0.28314420581
MYS,Investment,BAU_aECOLLPS,-0.37648615241
NGA,Investment,BAU_aECOLLPS,-0.068052880466
Oceania,Investment,BAU_aECOLLPS,-0.34304007888
Oth_CEE_CIS,Investment,BAU_aECOLLPS,-0.34815344214
Oth_Europe,Investment,BAU_aECOLLPS,-0.43772384524
PAK,Investment,BAU_aECOLLPS,-0.2552818954
PHL,Investment,BAU_aECOLLPS,-0.21984957159
POL,Investment,BAU_aECOLLPS,-0.32974538207
R_S_Asia,Investment,BAU_aECOLLPS,-0.46313241124
R_SE_Asia,Investment,BAU_aECOLLPS,-0.61656945944
Russia,Investment,BAU_aECOLLPS,-0.30513700843
S_o_Amer,Investment,BAU_aECOLLPS,-0.40006616712
S_S_AFR,Investment,BAU_aECOLLPS,-0.28279420733
TUR,Investment,BAU_aECOLLPS,-0.29074046016
USA,Investment,BAU_aECOLLPS,-0.26803705096
VNM,Investment,BAU_aECOLLPS,-0.38486087322
XAC,Investment,BAU_aECOLLPS,-0.078958883882
ZAF,Investment,BAU_aECOLLPS,-0.202945292
World,Investment,BAU_aECOLLPS,-0.35709708929
ARG,Government,BAU_aECOLLPS,0.71931290627
BGD,Government,BAU_aECOLLPS,0.56588917971
BRAZIL,Government,BAU_aECOLLPS,0.96963095665
C_C_Amer,Government,BAU_aECOLLPS,0.29603898525
CAN,Government,BAU_aECOLLPS,0.49638324976
CHIHKG,Government,BAU_aECOLLPS,-0.13172850013
COL,Government,BAU_aECOLLPS,0.20047287643
E_Asia,Government,BAU_aECOLLPS,0.046155534685
EGY,Government,BAU_aECOLLPS,0.068975932896
ETH,Government,BAU_aECOLLPS,-0.093714423478
EU27,Government,BAU_aECOLLPS,0.14027771354
IDN,Government,BAU_aECOLLPS,2.12897546589375E-0004
INDIA,Government,BAU_aECOLLPS,0.36721405387
JAPAN,Government,BAU_aECOLLPS,-0.20283806324
KOR,Government,BAU_aECOLLPS,-0.3941154182
MAR,Government,BAU_aECOLLPS,0.77488082647
MDG,Government,BAU_aECOLLPS,6.7591962814
MEAS_NAfr,Government,BAU_aECOLLPS,0.32469987869
MEX,Government,BAU_aECOLLPS,0.14676566422
MYS,Government,BAU_aECOLLPS,0.18504971266
NGA,Government,BAU_aECOLLPS,0.75348740816
Oceania,Government,BAU_aECOLLPS,0.30273216963
Oth_CEE_CIS,Government,BAU_aECOLLPS,0.60735809803
Oth_Europe,Government,BAU_aECOLLPS,0.20952390134
PAK,Government,BAU_aECOLLPS,-0.36102989316
PHL,Government,BAU_aECOLLPS,0.19531200826
POL,Government,BAU_aECOLLPS,2.45439307764173E-0003
R_S_Asia,Government,BAU_aECOLLPS,0.38662481308
R_SE_Asia,Government,BAU_aECOLLPS,-0.21624444425
Russia,Government,BAU_aECOLLPS,0.28878754377
S_o_Amer,Government,BAU_aECOLLPS,0.64459979534
S_S_AFR,Government,BAU_aECOLLPS,1.5092813969
TUR,Government,BAU_aECOLLPS,-0.16223040223
USA,Government,BAU_aECOLLPS,0.13253436983
VNM,Government,BAU_aECOLLPS,-0.23261830211
XAC,Government,BAU_aECOLLPS,3.9600112438
ZAF,Government,BAU_aECOLLPS,0.89532500505
World,Government,BAU_aECOLLPS,0.19438372552
ARG,Exports,BAU_aECOLLPS,-3.4146230221
BGD,Exports,BAU_aECOLLPS,3.7659459114
BRAZIL,Exports,BAU_aECOLLPS,-0.80681824684
C_C_Amer,Exports,BAU_aECOLLPS,-0.70135462284
CAN,Exports,BAU_aECOLLPS,-1.0942190886
CHIHKG,Exports,BAU_aECOLLPS,1.1760246754
COL,Exports,BAU_aECOLLPS,-0.18388415873
E_Asia,Exports,BAU_aECOLLPS,0.24761880934
EGY,Exports,BAU_aECOLLPS,1.487657547
ETH,Exports,BAU_aECOLLPS,-1.021669507
EU27,Exports,BAU_aECOLLPS,0.54220533371
IDN,Exports,BAU_aECOLLPS,0.18665143847
INDIA,Exports,BAU_aECOLLPS,-0.5578045845
JAPAN,Exports,BAU_aECOLLPS,1.5679169893
KOR,Exports,BAU_aECOLLPS,3.307798624
MAR,Exports,BAU_aECOLLPS,-0.55070340633
MDG,Exports,BAU_aECOLLPS,-12.692497253
MEAS_NAfr,Exports,BAU_aECOLLPS,0.12704490125
MEX,Exports,BAU_aECOLLPS,-0.018344651908
MYS,Exports,BAU_aECOLLPS,-4.1746845245
NGA,Exports,BAU_aECOLLPS,-0.1176276803
Oceania,Exports,BAU_aECOLLPS,-0.4463840127
Oth_CEE_CIS,Exports,BAU_aECOLLPS,-1.5843324661
Oth_Europe,Exports,BAU_aECOLLPS,-0.57077401876
PAK,Exports,BAU_aECOLLPS,1.3540623188
PHL,Exports,BAU_aECOLLPS,2.7934877872
POL,Exports,BAU_aECOLLPS,0.56670606136
R_S_Asia,Exports,BAU_aECOLLPS,0.65199333429
R_SE_Asia,Exports,BAU_aECOLLPS,-3.8463344574
Russia,Exports,BAU_aECOLLPS,0.13386537135
S_o_Amer,Exports,BAU_aECOLLPS,-0.38829085231
S_S_AFR,Exports,BAU_aECOLLPS,-0.81568229198
TUR,Exports,BAU_aECOLLPS,1.8251889944
USA,Exports,BAU_aECOLLPS,-0.26099988818
VNM,Exports,BAU_aECOLLPS,3.995392561
XAC,Exports,BAU_aECOLLPS,1.1865161657
ZAF,Exports,BAU_aECOLLPS,-1.3449064493
World,Exports,BAU_aECOLLPS,0.24061067402
ARG,IntnlMargins,BAU_aECOLLPS,-1.82566669536754E-0004
BGD,IntnlMargins,BAU_aECOLLPS,4.68952475785045E-0006
BRAZIL,IntnlMargins,BAU_aECOLLPS,0.013437651098
C_C_Amer,IntnlMargins,BAU_aECOLLPS,5.13712689280510E-0003
CAN,IntnlMargins,BAU_aECOLLPS,-5.38384029641747E-0003
CHIHKG,IntnlMargins,BAU_aECOLLPS,0.020222274587
COL,IntnlMargins,BAU_aECOLLPS,2.81231384724379E-0003
E_Asia,IntnlMargins,BAU_aECOLLPS,5.96077460795641E-0003
EGY,IntnlMargins,BAU_aECOLLPS,0.016255125403
ETH,IntnlMargins,BAU_aECOLLPS,-0.11010012776
EU27,IntnlMargins,BAU_aECOLLPS,-1.78973993752152E-0003
IDN,IntnlMargins,BAU_aECOLLPS,1.46853702608496E-0003
INDIA,IntnlMargins,BAU_aECOLLPS,0.033227484673
JAPAN,IntnlMargins,BAU_aECOLLPS,0.015033327974
KOR,IntnlMargins,BAU_aECOLLPS,7.13874818757176E-0003
MAR,IntnlMargins,BAU_aECOLLPS,-9.00117214769125E-0003
MDG,IntnlMargins,BAU_aECOLLPS,-0.052156463265
MEAS_NAfr,IntnlMargins,BAU_aECOLLPS,-1.69268634635955E-0003
MEX,IntnlMargins,BAU_aECOLLPS,1.70956496731378E-0004
MYS,IntnlMargins,BAU_aECOLLPS,0.11339976639
NGA,IntnlMargins,BAU_aECOLLPS,5.75829762965441E-0003
Oceania,IntnlMargins,BAU_aECOLLPS,-5.77830011025071E-0003
Oth_CEE_CIS,IntnlMargins,BAU_aECOLLPS,-0.011874987744
Oth_Europe,IntnlMargins,BAU_aECOLLPS,-2.15541291981935E-0003
PAK,IntnlMargins,BAU_aECOLLPS,0.021523797885
PHL,IntnlMargins,BAU_aECOLLPS,0.034273859113
POL,IntnlMargins,BAU_aECOLLPS,7.04400241374969E-0003
R_S_Asia,IntnlMargins,BAU_aECOLLPS,0.018371509388
R_SE_Asia,IntnlMargins,BAU_aECOLLPS,0.29151538014
Russia,IntnlMargins,BAU_aECOLLPS,-7.48381484299898E-0003
S_o_Amer,IntnlMargins,BAU_aECOLLPS,0.038713872433
S_S_AFR,IntnlMargins,BAU_aECOLLPS,0.044954791665
TUR,IntnlMargins,BAU_aECOLLPS,0.016047786921
USA,IntnlMargins,BAU_aECOLLPS,-2.13808566331863E-0003
VNM,IntnlMargins,BAU_aECOLLPS,0.048098418862
XAC,IntnlMargins,BAU_aECOLLPS,1.58642861060798E-0003
ZAF,IntnlMargins,BAU_aECOLLPS,-5.83983492106199E-0004
World,IntnlMargins,BAU_aECOLLPS,9.18124429881573E-0003
ARG,Imports,BAU_aECOLLPS,-0.30309724808
BGD,Imports,BAU_aECOLLPS,-1.0450972319
BRAZIL,Imports,BAU_aECOLLPS,-1.5447895527
C_C_Amer,Imports,BAU_aECOLLPS,0.02822509408
CAN,Imports,BAU_aECOLLPS,-0.41907003522
CHIHKG,Imports,BAU_aECOLLPS,-0.48308414221
COL,Imports,BAU_aECOLLPS,-0.34750574827
E_Asia,Imports,BAU_aECOLLPS,0.84358114004
EGY,Imports,BAU_aECOLLPS,1.9940476418
ETH,Imports,BAU_aECOLLPS,-5.2558932304
EU27,Imports,BAU_aECOLLPS,-0.22312049568
IDN,Imports,BAU_aECOLLPS,1.1208363771
INDIA,Imports,BAU_aECOLLPS,1.2995222807
JAPAN,Imports,BAU_aECOLLPS,0.056640189141
KOR,Imports,BAU_aECOLLPS,-1.164421916
MAR,Imports,BAU_aECOLLPS,0.81837803125
MDG,Imports,BAU_aECOLLPS,-41.960746765
MEAS_NAfr,Imports,BAU_aECOLLPS,-0.020548716187
MEX,Imports,BAU_aECOLLPS,0.10534192622
MYS,Imports,BAU_aECOLLPS,3.593978405
NGA,Imports,BAU_aECOLLPS,-0.31231364608
Oceania,Imports,BAU_aECOLLPS,-0.9523101449
Oth_CEE_CIS,Imports,BAU_aECOLLPS,-0.33682030439
Oth_Europe,Imports,BAU_aECOLLPS,-0.17256346345
PAK,Imports,BAU_aECOLLPS,2.3585040569
PHL,Imports,BAU_aECOLLPS,0.044921327382
POL,Imports,BAU_aECOLLPS,0.070022769272
R_S_Asia,Imports,BAU_aECOLLPS,1.3950009346
R_SE_Asia,Imports,BAU_aECOLLPS,4.7859215736
Russia,Imports,BAU_aECOLLPS,-0.78679788113
S_o_Amer,Imports,BAU_aECOLLPS,-1.4660648108
S_S_AFR,Imports,BAU_aECOLLPS,1.4807505608
TUR,Imports,BAU_aECOLLPS,0.10207232088
USA,Imports,BAU_aECOLLPS,-0.11289180815
VNM,Imports,BAU_aECOLLPS,2.9706954956
XAC,Imports,BAU_aECOLLPS,-3.0429637432
ZAF,Imports,BAU_aECOLLPS,-0.53651481867
World,Imports,BAU_aECOLLPS,-0.25886768103
