ACOM,AREG,AREG,TRADERES,SCEN,Value
AgrFishFor,MidIncome,MidIncome,pfob,BAU_noES,-7.8114728928
MinManuf,MidIncome,MidIncome,pfob,BAU_noES,6.4421010017
Services,MidIncome,MidIncome,pfob,BAU_noES,-16.027954102
AgrFishFor,LowIncome,MidIncome,pfob,BAU_noES,-6.9830083847
MinManuf,LowIncome,MidIncome,pfob,BAU_noES,-0.81612282991
Services,LowIncome,MidIncome,pfob,BAU_noES,-9.6472454071
AgrFishFor,HighIncome,LowIncome,pfob,BAU_noES,-2.5273370743
MinManuf,HighIncome,LowIncome,pfob,BAU_noES,-0.25009596348
Services,HighIncome,LowIncome,pfob,BAU_noES,-19.756746292
AgrFishFor,MidIncome,LowIncome,pfob,BAU_noES,-8.3681163788
MinManuf,MidIncome,LowIncome,pfob,BAU_noES,1.8086020947
Services,MidIncome,LowIncome,pfob,BAU_noES,-16.020814896
AgrFishFor,LowIncome,LowIncome,pfob,BAU_noES,-8.4259700775
MinManuf,LowIncome,LowIncome,pfob,BAU_noES,-3.0709209442
Services,LowIncome,LowIncome,pfob,BAU_noES,-9.7916345596
AgrFishFor,HighIncome,HighIncome,qxs,BAU_aES,-0.26814436913
MinManuf,HighIncome,HighIncome,qxs,BAU_aES,-1.5013526678
Services,HighIncome,HighIncome,qxs,BAU_aES,0.68775683641
AgrFishFor,MidIncome,HighIncome,qxs,BAU_aES,0.14941753447
MinManuf,MidIncome,HighIncome,qxs,BAU_aES,-0.16023944318
Services,MidIncome,HighIncome,qxs,BAU_aES,0.1347758472
AgrFishFor,LowIncome,HighIncome,qxs,BAU_aES,0.79012858868
MinManuf,LowIncome,HighIncome,qxs,BAU_aES,0.085483118892
Services,LowIncome,HighIncome,qxs,BAU_aES,-0.41916123033
AgrFishFor,HighIncome,MidIncome,qxs,BAU_aES,1.1562572718
MinManuf,HighIncome,MidIncome,qxs,BAU_aES,-0.67608225346
Services,HighIncome,MidIncome,qxs,BAU_aES,1.2486100197
AgrFishFor,MidIncome,MidIncome,qxs,BAU_aES,-0.18340738118
MinManuf,MidIncome,MidIncome,qxs,BAU_aES,0.78531855345
Services,MidIncome,MidIncome,qxs,BAU_aES,0.84086954594
AgrFishFor,LowIncome,MidIncome,qxs,BAU_aES,0.88923925161
MinManuf,LowIncome,MidIncome,qxs,BAU_aES,0.76936298609
Services,LowIncome,MidIncome,qxs,BAU_aES,0.53001099825
AgrFishFor,HighIncome,LowIncome,qxs,BAU_aES,0.59904980659
MinManuf,HighIncome,LowIncome,qxs,BAU_aES,-1.1855425835
