ACOM,AREG,AREG,TRADERES,SCEN,Value
MinManuf,MidIncome,MidIncome,qxs,GPESSRRnD20,0.041435174644
Services,MidIncome,MidIncome,qxs,GPESSRRnD20,0.08709679544
AgrFishFor,LowIncome,MidIncome,qxs,GPESSRRnD20,-1.2312678099
MinManuf,LowIncome,MidIncome,qxs,GPESSRRnD20,0.31849703193
Services,LowIncome,MidIncome,qxs,GPESSRRnD20,0.48492902517
AgrFishFor,HighIncome,LowIncome,qxs,GPESSRRnD20,2.3120367527
MinManuf,HighIncome,LowIncome,qxs,GPESSRRnD20,-0.41809123755
Services,HighIncome,LowIncome,qxs,GPESSRRnD20,-0.25505524874
AgrFishFor,MidIncome,LowIncome,qxs,GPESSRRnD20,2.3356583118
MinManuf,MidIncome,LowIncome,qxs,GPESSRRnD20,-0.13994912803
Services,MidIncome,LowIncome,qxs,GPESSRRnD20,-0.29918250442
AgrFishFor,LowIncome,LowIncome,qxs,GPESSRRnD20,-0.75968635082
MinManuf,LowIncome,LowIncome,qxs,GPESSRRnD20,0.17512668669
Services,LowIncome,LowIncome,qxs,GPESSRRnD20,0.086280554533
AgrFishFor,HighIncome,HighIncome,pfob,GPESSRRnD20,-0.86980021
MinManuf,HighIncome,HighIncome,pfob,GPESSRRnD20,0.3214379549
Services,HighIncome,HighIncome,pfob,GPESSRRnD20,0.1745634526
AgrFishFor,MidIncome,HighIncome,pfob,GPESSRRnD20,-0.97391349077
MinManuf,MidIncome,HighIncome,pfob,GPESSRRnD20,0.27359777689
Services,MidIncome,HighIncome,pfob,GPESSRRnD20,0.16777200997
AgrFishFor,LowIncome,HighIncome,pfob,GPESSRRnD20,-0.62695211172
MinManuf,LowIncome,HighIncome,pfob,GPESSRRnD20,0.1736702919
Services,LowIncome,HighIncome,pfob,GPESSRRnD20,0.077998198569
AgrFishFor,HighIncome,MidIncome,pfob,GPESSRRnD20,-1.0989519358
MinManuf,HighIncome,MidIncome,pfob,GPESSRRnD20,0.30476263165
Services,HighIncome,MidIncome,pfob,GPESSRRnD20,0.17320854962
AgrFishFor,MidIncome,MidIncome,pfob,GPESSRRnD20,-1.1637470722
MinManuf,MidIncome,MidIncome,pfob,GPESSRRnD20,0.29575273395
Services,MidIncome,MidIncome,pfob,GPESSRRnD20,0.18534690142
AgrFishFor,LowIncome,MidIncome,pfob,GPESSRRnD20,-1.0167890787
MinManuf,LowIncome,MidIncome,pfob,GPESSRRnD20,0.20386616886
Services,LowIncome,MidIncome,pfob,GPESSRRnD20,0.079789966345
AgrFishFor,HighIncome,LowIncome,pfob,GPESSRRnD20,-0.73347264528
MinManuf,HighIncome,LowIncome,pfob,GPESSRRnD20,0.28154876828
Services,HighIncome,LowIncome,pfob,GPESSRRnD20,0.17063888907
AgrFishFor,MidIncome,LowIncome,pfob,GPESSRRnD20,-1.1859730482
MinManuf,MidIncome,LowIncome,pfob,GPESSRRnD20,0.27280381322
Services,MidIncome,LowIncome,pfob,GPESSRRnD20,0.18054425716
AgrFishFor,LowIncome,LowIncome,pfob,GPESSRRnD20,-0.44278177619
MinManuf,LowIncome,LowIncome,pfob,GPESSRRnD20,0.1752846688
Services,LowIncome,LowIncome,pfob,GPESSRRnD20,0.082569718361
AgrFishFor,HighIncome,HighIncome,qxs,BAU_aESRigid,-0.25878947973
MinManuf,HighIncome,HighIncome,qxs,BAU_aESRigid,-1.615442276
Services,HighIncome,HighIncome,qxs,BAU_aESRigid,0.85744136572
AgrFishFor,MidIncome,HighIncome,qxs,BAU_aESRigid,0.34718129039
MinManuf,MidIncome,HighIncome,qxs,BAU_aESRigid,-0.21715854108
Services,MidIncome,HighIncome,qxs,BAU_aESRigid,0.31341856718
AgrFishFor,LowIncome,HighIncome,qxs,BAU_aESRigid,0.8443390131
MinManuf,LowIncome,HighIncome,qxs,BAU_aESRigid,0.27726843953
Services,LowIncome,HighIncome,qxs,BAU_aESRigid,-0.5094602704
AgrFishFor,HighIncome,MidIncome,qxs,BAU_aESRigid,0.69661211967
MinManuf,HighIncome,MidIncome,qxs,BAU_aESRigid,-0.80252969265
Services,HighIncome,MidIncome,qxs,BAU_aESRigid,1.4155851603
AgrFishFor,MidIncome,MidIncome,qxs,BAU_aESRigid,-0.092150084674
MinManuf,MidIncome,MidIncome,qxs,BAU_aESRigid,0.78235220909
Services,MidIncome,MidIncome,qxs,BAU_aESRigid,1.1041477919
AgrFishFor,LowIncome,MidIncome,qxs,BAU_aESRigid,0.79720145464
MinManuf,LowIncome,MidIncome,qxs,BAU_aESRigid,0.91524237394
Services,LowIncome,MidIncome,qxs,BAU_aESRigid,0.54936009645
AgrFishFor,HighIncome,LowIncome,qxs,BAU_aESRigid,0.3411501646
MinManuf,HighIncome,LowIncome,qxs,BAU_aESRigid,-1.3129160404
Services,HighIncome,LowIncome,qxs,BAU_aESRigid,1.1177072525
AgrFishFor,MidIncome,LowIncome,qxs,BAU_aESRigid,-1.0278006792
MinManuf,MidIncome,LowIncome,qxs,BAU_aESRigid,0.065518632531
Services,MidIncome,LowIncome,qxs,BAU_aESRigid,0.65309971571
AgrFishFor,LowIncome,LowIncome,qxs,BAU_aESRigid,0.42984116077
MinManuf,LowIncome,LowIncome,qxs,BAU_aESRigid,0.050447873771
Services,LowIncome,LowIncome,qxs,BAU_aESRigid,-0.093785174191
AgrFishFor,HighIncome,HighIncome,pfob,BAU_aESRigid,0.24727842212
MinManuf,HighIncome,HighIncome,pfob,BAU_aESRigid,1.7639881372
Services,HighIncome,HighIncome,pfob,BAU_aESRigid,-0.47749519348
AgrFishFor,MidIncome,HighIncome,pfob,BAU_aESRigid,0.045153278857
MinManuf,MidIncome,HighIncome,pfob,BAU_aESRigid,1.1782642603
Services,MidIncome,HighIncome,pfob,BAU_aESRigid,-0.44885662198
AgrFishFor,LowIncome,HighIncome,pfob,BAU_aESRigid,-0.27318006754
MinManuf,LowIncome,HighIncome,pfob,BAU_aESRigid,0.62072712183
Services,LowIncome,HighIncome,pfob,BAU_aESRigid,-0.20031015575
AgrFishFor,HighIncome,MidIncome,pfob,BAU_aESRigid,-0.10169080645
MinManuf,HighIncome,MidIncome,pfob,BAU_aESRigid,1.5300525427
Services,HighIncome,MidIncome,pfob,BAU_aESRigid,-0.53907871246
AgrFishFor,MidIncome,MidIncome,pfob,BAU_aESRigid,0.30662345886
MinManuf,MidIncome,MidIncome,pfob,BAU_aESRigid,1.5109459162
Services,MidIncome,MidIncome,pfob,BAU_aESRigid,-0.38832095265
AgrFishFor,LowIncome,MidIncome,pfob,BAU_aESRigid,-0.25471049547
MinManuf,LowIncome,MidIncome,pfob,BAU_aESRigid,0.94345843792
Services,LowIncome,MidIncome,pfob,BAU_aESRigid,-0.19812694192
AgrFishFor,HighIncome,LowIncome,pfob,BAU_aESRigid,0.43522042036
MinManuf,HighIncome,LowIncome,pfob,BAU_aESRigid,1.1779857874
Services,HighIncome,LowIncome,pfob,BAU_aESRigid,-0.54286122322
AgrFishFor,MidIncome,LowIncome,pfob,BAU_aESRigid,0.72077065706
MinManuf,MidIncome,LowIncome,pfob,BAU_aESRigid,1.1939924955
Services,MidIncome,LowIncome,pfob,BAU_aESRigid,-0.41134220362
AgrFishFor,LowIncome,LowIncome,pfob,BAU_aESRigid,-0.43905550241
MinManuf,LowIncome,LowIncome,pfob,BAU_aESRigid,0.71337503195
Services,LowIncome,LowIncome,pfob,BAU_aESRigid,-0.19296015799
AgrFishFor,HighIncome,HighIncome,qxs,BAU_aECOLLPS,12.794501305
MinManuf,HighIncome,HighIncome,qxs,BAU_aECOLLPS,-21.18731308
Services,HighIncome,HighIncome,qxs,BAU_aECOLLPS,20.521060944
AgrFishFor,MidIncome,HighIncome,qxs,BAU_aECOLLPS,6.7568535805
MinManuf,MidIncome,HighIncome,qxs,BAU_aECOLLPS,-2.4859814644
Services,MidIncome,HighIncome,qxs,BAU_aECOLLPS,8.3448314667
AgrFishFor,LowIncome,HighIncome,qxs,BAU_aECOLLPS,78.707099915
MinManuf,LowIncome,HighIncome,qxs,BAU_aECOLLPS,3.6133084297
Services,LowIncome,HighIncome,qxs,BAU_aECOLLPS,-8.7811136246
AgrFishFor,HighIncome,MidIncome,qxs,BAU_aECOLLPS,14.741409302
MinManuf,HighIncome,MidIncome,qxs,BAU_aECOLLPS,-14.357294083
Services,HighIncome,MidIncome,qxs,BAU_aECOLLPS,9.2882871628
AgrFishFor,MidIncome,MidIncome,qxs,BAU_aECOLLPS,-9.8633050919
MinManuf,MidIncome,MidIncome,qxs,BAU_aECOLLPS,1.7002376318
Services,MidIncome,MidIncome,qxs,BAU_aECOLLPS,4.9848928452
AgrFishFor,LowIncome,MidIncome,qxs,BAU_aECOLLPS,9.9045009613
MinManuf,LowIncome,MidIncome,qxs,BAU_aECOLLPS,3.8919150829
Services,LowIncome,MidIncome,qxs,BAU_aECOLLPS,-11.009096146
AgrFishFor,HighIncome,LowIncome,qxs,BAU_aECOLLPS,-0.70845890045
MinManuf,HighIncome,LowIncome,qxs,BAU_aECOLLPS,-15.174370766
Services,HighIncome,LowIncome,qxs,BAU_aECOLLPS,18.246440887
AgrFishFor,MidIncome,LowIncome,qxs,BAU_aECOLLPS,-20.381696701
MinManuf,MidIncome,LowIncome,qxs,BAU_aECOLLPS,0.59646177292
Services,MidIncome,LowIncome,qxs,BAU_aECOLLPS,13.660284042
AgrFishFor,LowIncome,LowIncome,qxs,BAU_aECOLLPS,1.6486828327
MinManuf,LowIncome,LowIncome,qxs,BAU_aECOLLPS,1.5954114199
Services,LowIncome,LowIncome,qxs,BAU_aECOLLPS,-3.6400780678
AgrFishFor,HighIncome,HighIncome,pfob,BAU_aECOLLPS,31.833717346
MinManuf,HighIncome,HighIncome,pfob,BAU_aECOLLPS,3.9105162621
Services,HighIncome,HighIncome,pfob,BAU_aECOLLPS,-8.1949663162
AgrFishFor,MidIncome,HighIncome,pfob,BAU_aECOLLPS,49.170001984
MinManuf,MidIncome,HighIncome,pfob,BAU_aECOLLPS,0.91507691145
Services,MidIncome,HighIncome,pfob,BAU_aECOLLPS,-6.5741767883
AgrFishFor,LowIncome,HighIncome,pfob,BAU_aECOLLPS,52.435646057
MinManuf,LowIncome,HighIncome,pfob,BAU_aECOLLPS,-0.74944150448
Services,LowIncome,HighIncome,pfob,BAU_aECOLLPS,-2.4137964249
AgrFishFor,HighIncome,MidIncome,pfob,BAU_aECOLLPS,63.4802742
MinManuf,HighIncome,MidIncome,pfob,BAU_aECOLLPS,3.0743615627
Services,HighIncome,MidIncome,pfob,BAU_aECOLLPS,-7.6458191872
AgrFishFor,MidIncome,MidIncome,pfob,BAU_aECOLLPS,63.253253937
MinManuf,MidIncome,MidIncome,pfob,BAU_aECOLLPS,1.1422144175
Services,MidIncome,MidIncome,pfob,BAU_aECOLLPS,-6.5266609192
AgrFishFor,LowIncome,MidIncome,pfob,BAU_aECOLLPS,73.915054321
MinManuf,LowIncome,MidIncome,pfob,BAU_aECOLLPS,-0.11712317914
Services,LowIncome,MidIncome,pfob,BAU_aECOLLPS,-2.4018609524
AgrFishFor,HighIncome,LowIncome,pfob,BAU_aECOLLPS,32.184410095
MinManuf,HighIncome,LowIncome,pfob,BAU_aECOLLPS,2.5661005974
Services,HighIncome,LowIncome,pfob,BAU_aECOLLPS,-7.4678368568
AgrFishFor,MidIncome,LowIncome,pfob,BAU_aECOLLPS,55.952507019
MinManuf,MidIncome,LowIncome,pfob,BAU_aECOLLPS,0.66373479366
Services,MidIncome,LowIncome,pfob,BAU_aECOLLPS,-6.510283947
AgrFishFor,LowIncome,LowIncome,pfob,BAU_aECOLLPS,39.575454712
MinManuf,LowIncome,LowIncome,pfob,BAU_aECOLLPS,-0.43209257722
Services,LowIncome,LowIncome,pfob,BAU_aECOLLPS,-2.4173927307
